Software,RP Name,Software's Web Page,Software Documentation/Link,Example Software Use (link)
alphafold,"aces, anvil, darwin, faster",https://alphafold.ebi.ac.uk/,https://github.com/google-deepmind/alphafold,https://github.com/google-deepmind/alphafold?tab=readme-ov-file#installation-and-running-your-first-prediction
alphapickle,"aces, faster",,https://github.com/mattarnoldbio/alphapickle,https://github.com/mattarnoldbio/alphapickle
alsa-lib,faster,https://www.alsa-project.org/wiki/Main_Page,https://www.alsa-project.org/wiki/Documentation,
amask,stampede3,https://tacc.utexas.edu/research/tacc-research/amask/,https://github.com/TACC/amask,https://github.com/TACC/amask/blob/master/README
amber,"anvil, expanse, faster",https://ambermd.org/,https://ambermd.org/doc12/Amber23.pdf,https://ambermd.org/tutorials/
ambertools,"aces, faster",https://ambermd.org/AmberTools.php,https://ambermd.org/doc12/Amber23.pdf,https://ambermd.org/tutorials/
amd-rocm,darwin,https://www.amd.com/en/developer/resources/rocm-hub.html,https://rocm.docs.amd.com/en/latest/index.html,
amd-uprof,darwin,https://www.amd.com/en/developer/uprof.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-2-documents/uprof/uprof-user-guide-v4.2.pdf,
amdblis,"anvil, expanse",https://www.amd.com/es/developer/aocl/blis.html,https://github.com/flame/blis,https://github.com/flame/blis
amdfftw,"anvil, expanse",https://www.fftw.org/,https://github.com/amd/amd-fftw,https://www.fftw.org/fftw3_doc/Tutorial.html
amdlibflame,"anvil, expanse",https://www.amd.com/en/developer/aocl/blis.html#AOCL-libflame,https://github.com/amd/libflame,
amdlibm,"anvil, expanse",https://www.amd.com/de/developer/aocl/libm.html,https://github.com/amd/aocl-libm-ose,
amdscalapack,"anvil, expanse",https://www.amd.com/de/developer/aocl/scalapack.html,https://github.com/amd/aocl-scalapack,
amduprof,"delta, expanse",https://www.amd.com/en/developer/uprof.html,https://www.amd.com/content/dam/amd/en/documents/developer/uprof-v4.0-gaGA-user-guide.pdf,https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/debug_perf.html
amos,faster,http://amos.sourceforge.net,https://amos.sourceforge.net/wiki/index.php/AMOS#Documentation,https://amos.sourceforge.net/wiki/index.php/Programmer%27s_guide
amphora2,faster,https://github.com/wu-lab-uva/AMPHORA2,,
amptk,anvil,https://github.com/nextgenusfs/amptk,https://amptk.readthedocs.io/en/latest/,
anaconda,"anvil, darwin, jetstream, ookami",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ "
anaconda2,bridges-2,,,
anaconda3,"aces, bridges-2, expanse, faster",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ "
anaconda3_cpu,delta,https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ "
anaconda3_gpu,delta,https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ "
anaconda3_mi100,delta,https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ "
anaconda3_rcpu,delta,https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ "
anaconda3_x86_64,delta,,,
ananse,anvil,https://github.com/vanheeringen-lab/ANANSE,https://anansepy.readthedocs.io/en/master/,https://anansepy.readthedocs.io/en/master/examples/
anchorwave,anvil,https://github.com/baoxingsong/AnchorWave,https://github.com/baoxingsong/AnchorWave,https://github.com/baoxingsong/AnchorWave?tab=readme-ov-file#example
angsd,"anvil, faster",https://github.com/ANGSD/angsd,https://www.popgen.dk/angsd/index.php/ANGSD,https://www.popgen.dk/angsd/index.php/Quick_Start
annogesic,anvil,https://github.com/Sung-Huan/ANNOgesic,https://annogesic.readthedocs.io/en/latest/index.html,https://annogesic.readthedocs.io/en/latest/tutorial.html
annovar,anvil,https://annovar.openbioinformatics.org/en/latest/,https://annovar.openbioinformatics.org/en/latest/,https://annovar.openbioinformatics.org/en/latest/user-guide/startup/
ansys,"bridges-2, faster",https://www.ansys.com/,,
ant,"aces, expanse, faster",https://ant.apache.org/,https://ant.apache.org/manual/,"https://www.tutorialspoint.com/ant/ant_quick_guide.htm , https://www.vogella.com/tutorials/ApacheAnt/article.html "
antismash,anvil,https://docs.antismash.secondarymetabolites.org/,https://docs.antismash.secondarymetabolites.org/,
antlr,"aces, faster",https://www.antlr.org/,https://www.antlr.org/api/,https://tomassetti.me/antlr-mega-tutorial/
anvio,"anvil, bridges-2",https://anvio.org/,https://github.com/merenlab/anvio,https://anvio.org/learn/
any2fasta,"anvil, faster",https://github.com/tseemann/any2fasta,https://github.com/tseemann/any2fasta,https://github.com/tseemann/any2fasta?tab=readme-ov-file#examples
aocc,"aces, anvil, bridges-2, delta, expanse, faster, ookami",https://www.amd.com/en/developer/aocc.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocc/aocc-4.1-user-guide.pdf,
aocc compiler,jetstream,https://www.amd.com/en/developer/aocc.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocc/aocc-4.1-user-guide.pdf,
aocl,"bridges-2, darwin",https://www.amd.com/en/developer/aocl.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocl/aocl-4-1-user-guide.pdf,
aocl-sparse,expanse,https://www.amd.com/en/developer/aocl/sparse.html,https://github.com/amd/aocl-sparse,
apptainer,jetstream,https://apptainer.org/,https://apptainer.org/documentation/,https://apptainer.org/docs/user/main/quick_start.html
apr,"aces, faster",https://apr.apache.org/,https://apr.apache.org/docs/apr/1.7/modules.html,https://people.apache.org/~rooneg/talks/portable-c-with-apr/apr.html
apr-util,"aces, faster",https://apr.apache.org/,https://apr.apache.org/docs/apr-util/1.6/modules.html,https://www.linuxfromscratch.org/blfs/view/svn/general/apr-util.html
arcade-learning-environment,faster,https://github.com/Farama-Foundation/Arcade-Learning-Environment,https://github.com/Farama-Foundation/Arcade-Learning-Environment/blob/master/docs/README.md,
archive-zip,faster,https://metacpan.org/pod/Archive::Zip,https://metacpan.org/pod/Archive::Zip,
archspec,"aces, faster",https://github.com/archspec/archspec,https://archspec.readthedocs.io/en/latest/,https://archspec.readthedocs.io/en/latest/getting_started.html
arcs,anvil,https://github.com/bcgsc/arcs,https://github.com/bcgsc/arcs,
aria2,"expanse, faster",https://aria2.github.io/,https://aria2.github.io/manual/en/html/aria2c.html,https://aria2.github.io/manual/en/html/aria2c.html#example
aria2-1.15.1,faster,,,
ariba,anvil,https://sanger-pathogens.github.io/ariba/,https://github.com/sanger-pathogens/ariba,https://github.com/sanger-pathogens/pathogen-informatics-training
arm,ookami,https://developer.arm.com/,https://developer.arm.com/documentation/,https://learn.arm.com/?icid=devhub:developer:all-pages:nav-link
arm-forge,expanse,https://developer.arm.com/,https://developer.arm.com/documentation/101136/22-1-3/Arm-Forge/Introduction-to-Arm-Forge,https://developer.arm.com/documentation/101136/22-1-3/Arm-Forge/Introduction-to-Arm-Forge/Online-resources
arm-gnu-toolchain,aces,https://developer.arm.com/,https://developer.arm.com/Tools%20and%20Software/GNU%20Toolchain,https://developer.arm.com/documentation/ka005946/1-0/?lang=en
arm-gnu-toolchaint,aces,,,
armadillo,"aces, delta, expanse, faster",https://arma.sourceforge.net/,https://arma.sourceforge.net/docs.html,https://arma.sourceforge.net/docs.html#example_prog
arpack,"darwin, stampede3",https://github.com/inducer/arpack,http://li.mit.edu/Archive/Activities/Archive/CourseWork/Ju_Li/MITCourses/18.335/Doc/ARPACK/Lehoucq97.pdf,https://github.com/inducer/arpack/tree/master/EXAMPLES
arpack-ng,"aces, anvil, expanse, faster",https://github.com/opencollab/arpack-ng,https://github.com/opencollab/arpack-ng/tree/master/DOCUMENTS,https://github.com/opencollab/arpack-ng/tree/master/PARPACK/EXAMPLES
arrayfire,expanse,https://arrayfire.org/docs/index.htm#gsc.tab=0,https://arrayfire.org/docs/index.htm#gsc.tab=0,https://arrayfire.org/docs/examples.htm#gsc.tab=0
arriba,bridges-2,https://github.com/suhrig/arriba,https://arriba.readthedocs.io/en/latest/,https://hpc.nih.gov/apps/arriba.html
arrow,"aces, faster",https://arrow.apache.org/,https://arrow.apache.org/docs/,"https://arrow.apache.org/cookbook/cpp/ , https://arrow.apache.org/cookbook/java/ , https://arrow.apache.org/cookbook/py/ , https://arrow.apache.org/cookbook/r/ "
arrow-r,faster,https://arrow.apache.org/,https://arrow.apache.org/docs/,"https://arrow.apache.org/cookbook/cpp/ , https://arrow.apache.org/cookbook/java/ , https://arrow.apache.org/cookbook/py/ , https://arrow.apache.org/cookbook/r/ "
arviz,faster,https://github.com/arviz-devs/arviz,https://python.arviz.org/en/latest/index.html,https://python.arviz.org/en/latest/examples/index.html
ascatngs,anvil,https://github.com/cancerit/ascatNgs,https://github.com/cancerit/ascatNgs,
asciinema,bridges-2,https://asciinema.org/,https://docs.asciinema.org/,https://docs.asciinema.org/getting-started/
ase,"aces, faster",https://wiki.fysik.dtu.dk/ase/,https://wiki.fysik.dtu.dk/ase/ase/ase.html,https://wiki.fysik.dtu.dk/ase/tutorials/tutorials.html#tutorials
asgal,anvil,https://asgal.algolab.eu/,https://asgal.algolab.eu/documentation,https://asgal.algolab.eu/documentation#example
aspera-connect,"anvil, bridges-2",https://www.ibm.com/aspera/connect/,https://www.ibm.com/docs/en/aspera-connect/4.1?topic=aspera-connect-user-guide-linux,https://www.ibm.com/docs/en/aspera-connect/4.2?topic=linux-setting-up-connect
assembly-stats,anvil,https://github.com/sanger-pathogens/assembly-stats,https://github.com/sanger-pathogens/assembly-stats,https://github.com/sanger-pathogens/assembly-stats?tab=readme-ov-file#example
assimp,aces,https://assimp.org/,https://assimp-docs.readthedocs.io/en/latest/,https://github.com/assimp/assimp/blob/master/Build.md
astropy,faster,https://www.astropy.org/,https://docs.astropy.org/en/stable/,https://learn.astropy.org/
at-spi2-atk,"aces, faster",https://gitlab.gnome.org/Archive/at-spi2-atk,https://gitlab.gnome.org/Archive/at-spi2-atk,
at-spi2-core,"aces, faster",https://gitlab.gnome.org/GNOME/at-spi2-core/,https://gnome.pages.gitlab.gnome.org/at-spi2-core/libatspi/,https://wiki.gnome.org/Accessibility/ATK/BestPractices
atac-seq-pipeline,anvil,https://www.encodeproject.org/atac-seq/,https://github.com/ENCODE-DCC/atac-seq-pipeline,
ataqv,anvil,https://github.com/ParkerLab/ataqv,https://parkerlab.github.io/ataqv/,
atk,"aces, faster",https://gitlab.gnome.org/Archive/atk,https://docs.gtk.org/atk/,https://wiki.gnome.org/Accessibility/ATK/BestPractices
atlas,darwin,https://github.com/ecmwf/atlas,https://sites.ecmwf.int/docs/atlas/c++/,https://confluence.ecmwf.int/display/ATLAS/User+guide?preview=/66984475/66984474/Atlas-user-guide-0.8.0.pdf
atop,delta,https://www.atoptool.nl/,https://github.com/Atoptool/atop,https://www.atoptool.nl/perftrain.php
atp,delta,https://cpe.ext.hpe.com/docs/debugging-tools/atp.1.html,https://hpctools.readthedocs.io/en/latest/debug_atp.html,https://cpe.ext.hpe.com/docs/debugging-tools/atp.1.html#example-run
atram,anvil,https://github.com/juliema/aTRAM,https://github.com/juliema/aTRAM/blob/master/doc/introduction.md,https://github.com/juliema/aTRAM/blob/master/doc/introduction.md
atropos,anvil,https://github.com/jdidion/atropos,https://atropos.readthedocs.io/en/1.1/,https://atropos.readthedocs.io/en/1.1/guide.html
attrdict3,"aces, faster",https://github.com/pirofti/AttrDict3,https://pypi.org/project/attrdict3/,
augur,anvil,https://github.com/nextstrain/augur,https://docs.nextstrain.org/projects/augur/en/stable/,https://docs.nextstrain.org/projects/augur/en/stable/examples/examples.html
augustus,"anvil, bridges-2",https://bioinf.uni-greifswald.de/augustus/,https://github.com/Gaius-Augustus/Augustus/tree/master,https://vcru.wisc.edu/simonlab/bioinformatics/programs/augustus/docs/tutorial2015/training.html
autoconf,"aces, darwin, faster, kyric",https://www.gnu.org/software/autoconf/,https://www.gnu.org/software/autoconf/manual/,"https://www.lrde.epita.fr/~adl/autotools.html,https://www.sourceware.org/autobook/ "
autoconf-archive,kyric,https://github.com/autoconf-archive/autoconf-archive,https://www.gnu.org/software/autoconf-archive/,
autodock,anvil,https://autodock.scripps.edu/,https://autodock.scripps.edu/documentation/documentation/,https://ccsb.scripps.edu/projects/docking/
autodock-gpu,faster,https://autodock.scripps.edu/,https://github.com/ccsb-scripps/AutoDock-GPU,https://ccsb.scripps.edu/projects/docking/
autodock-vina,faster,https://vina.scripps.edu/,https://vina.scripps.edu/manual/,https://vina.scripps.edu/tutorial/
automake,"aces, faster, kyric",https://www.gnu.org/software/automake/automake.html,https://www.gnu.org/software/automake/manual/automake.html,https://www.lrde.epita.fr/~adl/autotools.html
autotools,"aces, faster, kyric, stampede3",https://autotools.info,,https://autotools.info/examples.html
aws-cli,"anvil, delta",https://aws.amazon.com/cli/,https://docs.aws.amazon.com/cli/,https://aws.amazon.com/training/
awscli,faster,https://aws.amazon.com/cli/,https://docs.aws.amazon.com/cli/,https://aws.amazon.com/training/
axl,faster,https://github.com/vovkos/axl?tab=readme-ov-file,https://github.com/vovkos/axl?tab=readme-ov-file,https://vovkos.github.io/axl/build-guide/
bactopia,anvil,https://github.com/bactopia/bactopia,https://bactopia.github.io/latest/,https://bactopia.github.io/latest/tutorial/
bali-phy,"anvil, faster",https://github.com/bredelings/BAli-Phy,https://bali-phy.org/,https://bali-phy.org/Tutorial4.html
bam-readcount,anvil,https://github.com/genome/bam-readcount,https://github.com/genome/bam-readcount,https://github.com/genome/bam-readcount/tree/master/tutorial
bamgineer,anvil,https://github.com/pughlab/bamgineer,https://github.com/pughlab/bamgineer,https://github.com/pughlab/bamgineer/blob/master/docs/input_preparation.md
bamkit,faster,https://github.com/hall-lab/bamkit,,
bamliquidator,anvil,https://github.com/BradnerLab/pipeline/wiki/bamliquidator,https://github.com/BradnerLab/pipeline/wiki/bamliquidator,
bamsurgeon,anvil,https://github.com/adamewing/bamsurgeon,https://github.com/adamewing/bamsurgeon/blob/master/doc/Manual.pdf,https://github.com/adamewing/bamsurgeon
bamtools,"aces, anvil, bridges-2, expanse, faster",https://github.com/pezmaster31/bamtools,https://github.com/pezmaster31/bamtools/wiki,https://genome.sph.umich.edu/wiki/BamUtil:_convert
bamutil,anvil,https://github.com/statgen/bamUtil,https://genome.sph.umich.edu/wiki/BamUtil,https://genome.sph.umich.edu/wiki/Category:BamUtil
banner,delta,https://linuxcommandlibrary.com/man/banner,https://www.ibm.com/docs/en/aix/7.3?topic=b-banner-command#banner__title__5,https://www.ibm.com/docs/en/aix/7.3?topic=b-banner-command#banner__title__5
barrnap,anvil,https://github.com/tseemann/barrnap,https://github.com/tseemann/barrnap?tab=readme-ov-file#options,https://github.com/tseemann/barrnap?tab=readme-ov-file#usage
basenji,anvil,https://github.com/calico/basenji,https://github.com/calico/basenji,https://github.com/calico/basenji?tab=readme-ov-file#tutorials
bat,bridges-2,https://github.com/sharkdp/bat,https://github.com/sharkdp/bat,https://github.com/sharkdp/bat?tab=readme-ov-file#how-to-use
bayescan,anvil,https://cmpg.unibe.ch/software/BayeScan/,https://cmpg.unibe.ch/software/BayeScan/files/BayeScan2.1_manual.pdf,https://evomics.org/wp-content/uploads/2016/01/BayeScan_BayeScEnv_exercises.pdf
bazam,anvil,https://github.com/ssadedin/bazam,https://github.com/ssadedin/bazam,"https://github.com/ssadedin/bazam?tab=readme-ov-file#simple-example , https://github.com/ssadedin/bazam?tab=readme-ov-file#advanced-example"
bazel,"aces, bridges-2, faster",https://bazel.build/,https://bazel.build/docs,"https://bazel.build/docs#tutorials , https://bazel.build/start/cpp"
bbmap,"aces, anvil, bridges-2, faster",https://sourceforge.net/projects/bbmap/,https://jgi.doe.gov/data-and-tools/software-tools/bbtools/bb-tools-user-guide/bbmap-guide/,
bbtools,anvil,https://jgi.doe.gov/data-and-tools/software-tools/bbtools/,https://jgi.doe.gov/data-and-tools/software-tools/bbtools/bb-tools-user-guide/,
bcftools,"anvil, bridges-2, expanse, faster",https://github.com/samtools/bcftools,https://samtools.github.io/bcftools/bcftools.html,
bcl2fastq,anvil,https://support.illumina.com/sequencing/sequencing_software/bcl2fastq-conversion-software.html,https://support.illumina.com/content/dam/illumina-support/documents/documentation/software_documentation/bcl2fastq/bcl2fastq2-v2-20-software-guide-15051736-03.pdf,https://www.youtube.com/watch?v=gz3H_pcLe7c
beagle,anvil,https://faculty.washington.edu/browning/beagle/beagle.html,https://faculty.washington.edu/browning/beagle/beagle_5.4_18Mar22.pdf,https://faculty.washington.edu/browning/beagle/run.beagle.01Mar24.d36.example
beagle-lib,faster,https://github.com/beagle-dev/beagle-lib,https://github.com/beagle-dev/beagle-lib?tab=readme-ov-file#documentation,
beast,faster,https://www.beast2.org/,https://www.beast2.org/xml/index.html,https://www.beast2.org/tutorials/
beast1,expanse,https://github.com/beast-dev/beast-mcmc,https://beast.community/,https://beast.community/getting_started
beast2,"anvil, expanse",https://www.beast2.org/,https://www.beast2.org/xml/index.html,https://www.beast2.org/tutorials/
beautifulsoup,"aces, faster",https://www.crummy.com/software/BeautifulSoup/,https://www.crummy.com/software/BeautifulSoup/bs4/doc/,"https://www.datacamp.com/tutorial/web-scraping-using-python , https://www.tutorialspoint.com/beautiful_soup/beautiful_soup_quick_guide.htm "
bedops,"anvil, bridges-2",https://bedops.readthedocs.io/en/latest/,https://bedops.readthedocs.io/en/latest/content/reference.html,https://bedops.readthedocs.io/en/latest/content/usage-examples.html
bedtools,"aces, anvil, bridges-2, faster",https://github.com/arq5x/bedtools,https://bedtools.readthedocs.io/en/latest/,"https://bedtools.readthedocs.io/en/latest/content/example-usage.html , https://sandbox.bio/tutorials/bedtools-intro "
bedtools2,expanse,https://github.com/arq5x/bedtools2,https://bedtools.readthedocs.io/en/latest/content/bedtools-suite.html,"https://bedtools.readthedocs.io/en/latest/content/example-usage.html , https://sandbox.bio/tutorials/bedtools-intro "
berkeley-db,"expanse, kyric",https://www.oracle.com/database/technologies/related/berkeleydb.html,https://libdb.org/docs/db/5.3.21/,"https://docs.oracle.com/database/bdb181/ , https://www.oracle.com/database/technologies/berkeleydb-db-faq.html "
berkeley-upc,faster,https://upc.lbl.gov/,https://upc.lbl.gov/docs/,https://upc.lbl.gov/demos/
binutils,"aces, darwin, faster",https://www.gnu.org/software/binutils/,https://sourceware.org/binutils/docs-2.42/,https://sourceware.org/binutils/docs-2.34/ld/Options.html#Options
bio-db-hts,faster,https://github.com/Ensembl/Bio-DB-HTS,https://metacpan.org/dist/Bio-DB-HTS,
bioawk,"anvil, faster",https://github.com/lh3/bioawk,https://github.com/lh3/bioawk,https://github.com/lh3/bioawk?tab=readme-ov-file#examples
biobambam,anvil,https://gitlab.com/german.tischler/biobambam2,https://gitlab.com/german.tischler/biobambam2,
biocontainers,"anvil, stampede3",https://biocontainers.pro/,https://biocontainers-edu.readthedocs.io/en/latest/,https://biocontainers-edu.readthedocs.io/en/latest/examples.html
bioconvert,anvil,https://github.com/bioconvert/bioconvert,https://bioconvert.readthedocs.io/en/dev/,https://bioconvert.readthedocs.io/en/dev/tutorial.html
bioformats,bridges-2,https://www.openmicroscopy.org/bio-formats/,https://bio-formats.readthedocs.io/en/v7.3.0/,https://bio-formats.readthedocs.io/en/v7.3.0/about/index.html#help
biom-format,faster,https://biom-format.org/,https://biom-format.org/documentation/index.html,"https://biom-format.org/documentation/quick_usage_examples.html#examples , https://biom-format.org/documentation/table_objects.html#examples"
bioperl,"aces, faster",https://bioperl.org/index.html,https://bioperl.org/howtos/index.html,https://github.com/bioperl/bioperl-live/tree/master/examples
biopython,"aces, anvil, faster",https://biopython.org/,https://biopython.org/wiki/Documentation,https://biopython.org/DIST/docs/tutorial/Tutorial.html
bismark,"anvil, bridges-2, expanse",https://www.bioinformatics.babraham.ac.uk/projects/bismark/,https://felixkrueger.github.io/Bismark/,https://felixkrueger.github.io/Bismark/bismark/
bison,"aces, faster, ookami",https://www.gnu.org/software/bison/,https://www.gnu.org/software/bison/manual/bison.html,"https://www.gnu.org/software/bison/manual/html_node/Examples.html , https://aquamentus.com/flex_bison.html "
blacs,darwin,https://www.netlib.org/blacs/,https://www.netlib.org/blacs/,https://www.netlib.org/blacs/BLACS/Examples.html
blasr,anvil,https://github.com/PacificBiosciences/blasr,https://www.pacb.com/wp-content/uploads/SMRT-Tools-Reference-Guide-v8.0.pdf,
blast,"anvil, bridges-2, faster",https://blast.ncbi.nlm.nih.gov/Blast.cgi,https://www.ncbi.nlm.nih.gov/IEB/ToolBox/CPP_DOC/doxyhtml/group__AlgoBlast.html,"https://blast.ncbi.nlm.nih.gov/doc/blast-quick-start-guide/ , https://www.youtube.com/playlist?list=PL7dF9e2qSW0azL2xOKAtxDW7QI8UU4XZ6 "
blast-plus,"anvil, expanse",https://blast.ncbi.nlm.nih.gov/doc/blast-help/downloadblastdata.html,https://github.com/ncbi/blast_plus_docs,https://github.com/ncbi/blast_plus_docs?tab=readme-ov-file#section-2---a-step-by-step-guide-using-the-blast-docker-image
blast+,"aces, faster, ookami",https://blast.ncbi.nlm.nih.gov/doc/blast-help/downloadblastdata.html,https://github.com/ncbi/blast_plus_docs,https://github.com/ncbi/blast_plus_docs?tab=readme-ov-file#section-2---a-step-by-step-guide-using-the-blast-docker-image
blat,"bridges-2, expanse",https://kentinformatics.com/,https://kentinformatics.com/documentation,https://genome.ucsc.edu/training/index.html
blender,"aces, faster",https://www.blender.org/,https://docs.blender.org/manual/en/latest/,"https://www.youtube.com/watch?v=TPrnSACiTJ4&list=PLjEaoINr3zgHs8uzT3yqe4iHGfkCmMJ0P , https://en.wikibooks.org/wiki/Blender_3D:_Noob_to_Pro "
blis,"aces, anvil, darwin, faster, ookami",https://github.com/flame/blis,https://github.com/flame/blis/blob/master/docs/BLISTypedAPI.md,"https://github.com/flame/blis/blob/master/docs/Testsuite.md , https://github.com/flame/blis/tree/master/examples/oapi "
blobtools,anvil,https://github.com/DRL/blobtools,https://blobtools.readme.io/docs/what-is-blobtools,https://blobtools.readme.io/docs/my-first-blobplot
blosc2,"aces, faster",https://github.com/Blosc/c-blosc2,https://www.blosc.org/c-blosc2/c-blosc2.html,"https://github.com/Blosc/c-blosc2/tree/main/examples , https://www.youtube.com/watch?v=ER12R7FXosk"
bmge,anvil,https://bio.tools/bmge,https://gensoft.pasteur.fr/docs/BMGE/1.12/,
bohrium,faster,https://github.com/bh107/bohrium,https://bohrium.readthedocs.io/index.html,https://bohrium.readthedocs.io/users/cpp.html#code-snippets
bokeh,"aces, faster",https://bokeh.org/,https://docs.bokeh.org/en/latest/,"https://realpython.com/python-data-visualization-bokeh/ , https://programminghistorian.org/en/lessons/visualizing-with-bokeh "
