Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation,Example Software Use,RP Software Documentation,Version Info
actc,"Aces, Anvil, Faster",Application,Modeling,General,"Biology, Mathematics","ACTC is a graphics optimization tool that enhances the rendering efficiency of 3D models by restructuring their geometric data. It's particularly useful in applications using OpenGL and Direct3D, where it can significantly improve rendering speed and reduce computational load. 
Description Source: https://plunk.org/~grantham/public/actc/README",https://plunk.org/~grantham/public/actc/,https://plunk.org/~grantham/public/actc/manual.html,https://plunk.org/~grantham/public/actc/tcsample.c,"Aces: https://hprc.tamu.edu/software/aces/ 
Anvil: https://www.rcac.purdue.edu/software/actc 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 1.1
Anvil: 0.2.0
Faster: 1.1"
adapterremoval,"Anvil, Faster",Application,Bioinformatics,Sciences,Biology,"AdapterRemoval searches for and removes adapter sequences from High-Throughput Sequencing (HTS) data and (optionally) trims low quality bases from the 3’ end of reads following adapter removal. AdapterRemoval can analyze both single end and paired end data, and can be used to merge overlapping paired-ended reads into (longer) consensus sequences. Additionally, AdapterRemoval can construct a consensus adapter sequence for paired-ended reads, if which this information is not available.",https://github.com/MikkelSchubert/adapterremoval,https://adapterremoval.readthedocs.io/en/stable/,https://adapterremoval.readthedocs.io/en/stable/examples.html,"Anvil: https://www.rcac.purdue.edu/software/adapterremoval 
Faster: https://hprc.tamu.edu/software/faster/","Anvil: 2.3.3
Faster: 2.3.3"
adios2,Expanse,Framework,Hpc Application,Sciences,Computer Science,"ADIOS2 is developed as part of the United States Department of Energy's Exascale Computing Project. It is a framework for scientific data I/O to publish and subscribe to data when and where required. ADIOS2 transports data as groups of self-describing variables and attributes across different media types (such as files, wide-area-networks, and remote direct memory access) using a common application programming interface for all transport modes. ADIOS2 can be used on supercomputers, cloud systems, and personal computers.",https://github.com/ornladios/ADIOS2,https://adios2.readthedocs.io/en/v2.10.0/,https://adios2.readthedocs.io/en/v2.10.0/tutorials/basicTutorials.html,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,"Expanse: F2Ejleg, M6X3V7O, ..."
adol-c,Expanse,Application,Mathematics,Engineering,Mathematics,"ADOL-C is an operator overloading based AD-tool that allows to compute derivatives for functions given as C or C++ source code. ADOL-C can handle codes based on classes, templates and other advanced C++-features. The resulting derivative evaluation routines may be called from C, C++, Fortran, or any other language that can be linked with C.",https://github.com/coin-or/ADOL-C,https://github.com/coin-or/ADOL-C/tree/master/ADOL-C/doc,https://github.com/coin-or/ADOL-C/tree/master/ADOL-C/examples,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,"Expanse: Hjqerr7, Qygdtvg, ..."
advisor,"Kyric, Stampede3",Service,,,,"Intel Advisor is a performance analysis tool designed to help developers optimize and parallelize their software on Intel architectures. It provides insights for efficient vectorization, threading, and offloading to accelerators, aiding in achieving maximum performance from applications.",https://www.intel.com/content/www/us/en/developer/tools/oneapi/advisor.html,https://www.intel.com/content/www/us/en/docs/advisor/get-started-guide/2023-1/overview.html,,Stampede3: https://tacc.utexas.edu/use-tacc/software-list/,"Kyric: Latest, 2021.1.1"
advntr,Anvil,Application,Bioinformatics,Sciences,Biology,adVNTR is a tool for genotyping Variable Number Tandem Repeats (VNTR) from sequence data. It works with both NGS short reads (Illumina HiSeq) and SMRT reads (PacBio) and finds diploid repeating counts for VNTRs and identifies possible mutations in the VNTR sequences.,https://github.com/mehrdadbakhtiari/adVNTR,https://advntr.readthedocs.io/en/latest/index.html,https://advntr.readthedocs.io/en/latest/tutorial.html,Anvil: https://www.rcac.purdue.edu/software/advntr,"Anvil: 1.4.0, 1.5.0"
aesara,Faster,Application,Mathematics,Engineering,Mathematics,"Aesara is a Python library that allows one to define, optimize, and efficiently evaluate mathematical expressions involving multi-dimensional arrays.",https://github.com/aesara-devs/aesara,https://aesara.readthedocs.io/en/latest/,https://aesara.readthedocs.io/en/latest/reference/index.html,Faster: https://hprc.tamu.edu/software/faster/,Faster: 2.8.9
aflow,Faster,Framework,Materials,Sciences,Materials,"AFLOW is a comprehensive software framework for autonomous density functional theory calculations and materials properties analysis. It offers diverse tools and modules for structure analysis, property prediction, and error correction, including thermodynamic stability analysis and modeling of chemically disordered materials, with public access through the AFLOW website and search API.",https://aflowlib.org/,https://aflow.org/aflow-school/,https://aflow.org/aflow-school/,Faster: https://hprc.tamu.edu/software/faster/,Faster: 3.2.11
afplot,Anvil,Application,Bioinformatics,Sciences,Biology,Afplot is a tool to plot allele frequencies in VCF files.,https://github.com/sndrtj/afplot,,https://github.com/sndrtj/afplot#Examples,Anvil: https://www.rcac.purdue.edu/software/afplot,Anvil: 0.2.1
afterqc,Anvil,Application,Bioinformatics,Sciences,Biology,"Automatic Filtering, Trimming, Error Removing and Quality Control for fastq data. AfterQC can simply go through all fastq files in a folder and then output three folders: good, bad and QC folders, which contains good reads, bad reads and the QC results of each fastq file/pair.",https://github.com/OpenGene/AfterQC,https://github.com/OpenGene/AfterQC,https://github.com/OpenGene/AfterQC#Simple-usage,Anvil: https://www.rcac.purdue.edu/software/afterqc,Anvil: 0.9.7
agat,Anvil,Toolkit,Bioinformatics,Sciences,Biology,Agat is a suite of tools to handle gene annotations in any GTF/GFF format,https://github.com/NBISweden/AGAT?tab=readme-ov-file,https://agat.readthedocs.io/en/latest/index.html,https://agat.readthedocs.io/en/latest/agat_how_does_it_work.html,Anvil: https://www.rcac.purdue.edu/software/agat,Anvil: 0.8.1
agfusion,Anvil,Application,Bioinformatics,Sciences,Biology,AGFusion (pronounced 'A G Fusion') is a python package for annotating gene fusions from the human or mouse genomes.,https://github.com/murphycj/AGFusion,https://github.com/murphycj/AGFusion,"https://github.com/murphycj/AGFusion?tab=readme-ov-file#examples 
https://www.agfusion.app/",Anvil: https://www.rcac.purdue.edu/software/agfusion,Anvil: 1.3.11
ai,Bridges-2,Service,Environment,,,PyTorch AI development environment,,https://www.psc.edu/resources/software/ai/,,Bridges-2: https://www.psc.edu/resources/software/ai,"Bridges-2: Pytorch_23.02-1.13.1-Py3, Tensorflow_23.02-2.10.0-Py3"
aiohttp,"Aces, Faster",Library,Networking,,,"aiohttp is an asynchronous HTTP Client/Server for asyncio and Python. 
Description Source: https://docs.aiohttp.org/en/stable/",https://github.com/aio-libs/aiohttp,https://docs.aiohttp.org/en/stable/,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 3.8.3, 3.8.5
Faster: 3.8.1"
alfred,Anvil,Application,Bioinformatics,Sciences,Biology,Alfred is an efficient and versatile command-line application that computes multi-sample quality control metrics in a read-group aware manner.,https://github.com/tobiasrausch/alfred,https://www.gear-genomics.com/docs/alfred/,https://www.gear-genomics.com/docs/alfred/cli/,Anvil: https://www.rcac.purdue.edu/software/alfred,"Anvil: 0.2.5, 0.2.6"
alien-hunter,Anvil,Application,Bioinformatics,Sciences,Biology,Alien-hunter is an application for the prediction of putative Horizontal Gene Transfer (HGT) events with the implementation of Interpolated Variable Order Motifs (IVOMs).,https://www.sanger.ac.uk/tool/alien_hunter/,,,Anvil: https://www.rcac.purdue.edu/software/alien-hunter,Anvil: 1.7.7
alignstats,Anvil,Application,Bioinformatics,Sciences,Biology,"AlignStats produces various alignment, whole genome coverage, and capture coverage metrics for sequence alignment files in SAM, BAM, and CRAM format.",https://github.com/jfarek/alignstats,https://github.com/jfarek/alignstats,https://github.com/jfarek/alignstats?tab=readme-ov-file#usage-examples,Anvil: https://www.rcac.purdue.edu/software/alignstats,Anvil: 0.9.1
all-architectures,Ookami,,,,,,,,,Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami,
allocations,Bridges-2,,,,,PSC Allocations usage utilities,,,,Bridges-2: https://www.psc.edu/resources/software/allocations,Bridges-2: 1.0
allpathslg,Anvil,Application,Bioinformatics,Sciences,Biology,Allpathslg is a whole-genome shotgun assembler that can generate high-quality genome assemblies using short reads.,https://software.broadinstitute.org/allpaths-lg/blog/,,,Anvil: https://www.rcac.purdue.edu/software/allpathslg,Anvil: 52488
alphafold,"Aces, Anvil, Darwin, Faster",Application,"Modeling, Bioinformatics",Sciences,"Chemistry, Biology","AlphaFold, the state-of-the-art AI system developed by DeepMind, is able to computationally predict protein structures with unprecedented accuracy and speed. 
Description Source: https://alphafold.ebi.ac.uk/about ",https://alphafold.ebi.ac.uk/,https://github.com/google-deepmind/alphafold,https://github.com/google-deepmind/alphafold?tab=readme-ov-file#installation-and-running-your-first-prediction,"Aces: https://hprc.tamu.edu/software/aces/ 
Anvil: https://www.rcac.purdue.edu/software/alphafold 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2.3.2-Cuda-11.8.0
Anvil: 2.1.1, 2.2.0, 2.2.3, 2.3.0, 2.3.1
Faster: 2.1.1, 2.2.2-Cuda-11.3.1"
alphapickle,"Aces, Faster",Application,"Modeling, Bioinformatics",Sciences,"Chemistry, Biology","AlphaPickle is a versatile Python script designed to extract and present output data from DeepMind's ALPHAFOLD protein prediction algorithm, simplifying complex .pkl and .json files into user-friendly formats, alongside generating plots for easier analysis.",,https://github.com/mattarnoldbio/alphapickle,https://github.com/mattarnoldbio/alphapickle,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 1.4.1
Faster: 1.4.1"
alsa-lib,Faster,Library,,,,"The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI functionality to the Linux operating system. 
Description Source: https://www.alsa-project.org/wiki/Main_Page",https://www.alsa-project.org/wiki/Main_Page,https://www.alsa-project.org/wiki/Documentation,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 1.2.8
amask,Stampede3,Application,,,,"The amask tool exposes the process masks (affinity) of an application will have in a parallel environment, so that users can determine the cores/hardware-threads where each process is allowed to run.",https://tacc.utexas.edu/research/tacc-research/amask/,https://github.com/TACC/amask,https://github.com/TACC/amask/blob/master/README,Stampede3: https://tacc.utexas.edu/use-tacc/software-list/,
amber,"Anvil, Expanse, Faster",Module,"Simulation, Bioinformatics",Sciences,Chemistry,Amber is a suite of biomolecular simulation programs together with Amber tools.,https://ambermd.org/,https://ambermd.org/doc12/Amber23.pdf,https://ambermd.org/tutorials/,"Anvil: https://www.rcac.purdue.edu/software/amber 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/","Anvil: 20
Expanse: C6Gwmih-Omp, Ulauqq7-Omp
Faster: 20-Cuda-11.4.1-Nccl-2.11.4-Python-3.9.5, 20-Cuda-11.4.1-Python-3.9.5"
ambertools,"Aces, Faster",Module,"Simulation, Bioinformatics",Sciences,Chemistry,"Ambertools is a suite can of complete molecular dynamics simulations, with either explicit water or generalized Born solvent models.",https://ambermd.org/AmberTools.php,https://ambermd.org/doc12/Amber23.pdf,https://ambermd.org/tutorials/,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 22.3
Faster: 21.12"
amd-rocm,Darwin,Toolkit,Environment,,,"AMD ROCm is a comprehensive software ecosystem tailored for GPU-accelerated computing tasks, offering robust support for parallel processing and machine learning applications.",https://www.amd.com/en/developer/resources/rocm-hub.html,https://rocm.docs.amd.com/en/latest/index.html,,,
amd-uprof,Darwin,,Profiling Tool,,,"AMD uProf (“MICRO-prof”) is a software profiling analysis tool for x86 applications running on Windows, Linux and FreeBSD operating systems and provides event information unique to the AMD “Zen”-based processors and AMD Instinct™ MI Series accelerators. AMD uProf enables the developer to better understand the limiters of application performance and evaluate improvements.",https://www.amd.com/en/developer/uprof.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-2-documents/uprof/uprof-user-guide-v4.2.pdf,,,
amdblis,"Anvil, Expanse",Application,,,,AMD Optimized BLIS is a portable software framework for instantiating high-performance BLAS-like dense linear algebra libraries.,https://www.amd.com/es/developer/aocl/blis.html,https://github.com/flame/blis,https://github.com/flame/blis,"Anvil: https://www.rcac.purdue.edu/software/amdblis 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Anvil: 3.0
Expanse: Zcuungw-Omp, 6Sfatsa"
amdfftw,"Anvil, Expanse",Library,Mathematics,Engineering,Mathematics,"An AMD optimized version of FFTW. FFTW is a C subroutine library for computing the discrete Fourier transform (DFT) in one or more dimensions, of arbitrary input size, and of both real and complex data (as well as of even/odd data, i.e. the discrete cosine/sine transforms or DCT/DST). We believe that FFTW, which is free software, should become the FFT library of choice for most applications. 
Description Source: https://www.fftw.org/",https://www.fftw.org/,https://github.com/amd/amd-fftw,https://www.fftw.org/fftw3_doc/Tutorial.html,"Anvil: https://www.rcac.purdue.edu/software/amdfftw 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Anvil: 3.0
Expanse: T757St4, Zqoqbjf-Omp, ..."
amdlibflame,"Anvil, Expanse",Library,Mathematics,Engineering,Mathematics,"libFLAME AMD Optimized version is a portable library for dense matrix computations, providing much of the functionality present in Linear Algebra Package LAPACK. It includes a compatibility layer, FLAPACK, which includes complete LAPACK implementation.",https://www.amd.com/en/developer/aocl/blis.html#AOCL-libflame,https://github.com/amd/libflame,,"Anvil: https://www.rcac.purdue.edu/software/amdlibflame 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Anvil: 3.0
Expanse: F37Pl2Z"
amdlibm,"Anvil, Expanse",Library,Mathematics,Engineering,Mathematics,AMD LibM is a software library containing a collection of basic math functions optimized for x86-64 processor-based machines. It provides many routines from the list of standard C99 math functions. Applications can link into AMD LibM library and invoke math functions instead of compilers math functions for better accuracy and performance.,https://www.amd.com/de/developer/aocl/libm.html,https://github.com/amd/aocl-libm-ose,,"Anvil: https://www.rcac.purdue.edu/software/amdlibm 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Anvil: 3.0
Expanse: Uil3Tqx"
amdscalapack,"Anvil, Expanse",Library,Mathematics,Engineering,Mathematics,ScaLAPACK is a library of high-performance linear algebra routines for parallel distributed memory machines. It depends on external libraries including BLAS and LAPACK for Linear Algebra computations.,https://www.amd.com/de/developer/aocl/scalapack.html,https://github.com/amd/aocl-scalapack,,"Anvil: https://www.rcac.purdue.edu/software/amdscalapack 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Anvil: 3.0
Expanse: 7Qg2Ts5"
amduprof,"Delta, Expanse",,Profiling Tool,,,"AMD uProf (“MICRO-prof”) is a software profiling analysis tool for x86 applications running on Windows, Linux and FreeBSD operating systems and provides event information unique to the AMD “Zen”-based processors and AMD Instinct™ MI Series accelerators. AMD uProf enables the developer to better understand the limiters of application performance and evaluate improvements.",https://www.amd.com/en/developer/uprof.html,https://www.amd.com/content/dam/amd/en/documents/developer/uprof-v4.0-gaGA-user-guide.pdf,https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/debug_perf.html,"Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Delta: 3.5, 3.6, 4.0
Expanse: 3.4.475"
amos,Faster,Application,Bioinformatics,Sciences,Biology,The AMOS consortium is committed to the development of open-source whole genome assembly software.,http://amos.sourceforge.net,https://amos.sourceforge.net/wiki/index.php/AMOS#Documentation,https://amos.sourceforge.net/wiki/index.php/Programmer%27s_guide,Faster: https://hprc.tamu.edu/software/faster/,Faster: 3.1.0
amphora2,Faster,Application,Bioinformatics,Sciences,Biology,An Automated Phylogenomic Inference Pipeline for Bacterial and Archaeal Sequences.,https://github.com/wu-lab-uva/AMPHORA2,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 20190730-Java-13-Pthreads-Avx2
amptk,Anvil,Application,Bioinformatics,Sciences,Biology,"Amptk is a series of scripts to process NGS amplicon data using USEARCH and VSEARCH, it can also be used to process any NGS amplicon data and includes databases setup for analysis of fungal ITS, fungal LSU, bacterial 16S, and insect COI amplicons.",https://github.com/nextgenusfs/amptk,https://amptk.readthedocs.io/en/latest/,,Anvil: https://www.rcac.purdue.edu/software/amptk,Anvil: 1.5.4
anaconda,"Anvil, Darwin, Jetstream, Ookami",Application,"Python And R Repo, Ai",,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ 
https://www.youtube.com/watch?v=YJC6ldI3hWk 
https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x 
https://docs.anaconda.com/ae-notebooks/ ","Anvil: https://www.rcac.purdue.edu/software/anaconda 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami","Anvil: 2021.05-Py38
Jetstream: 22.9.0"
anaconda2,Bridges-2,,,,,"Anaconda is a free and open-source distribution of the Python and R programming languages for scientific computing, that aims to simplify package management and deployment. Package versions are managed by the package management system conda.",,,,Bridges-2: https://www.psc.edu/resources/software/anaconda2,Bridges-2: 2019.10
anaconda3,"Aces, Bridges-2, Expanse, Faster",Application,Python And R Repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ 
https://www.youtube.com/watch?v=YJC6ldI3hWk 
https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x 
https://docs.anaconda.com/ae-notebooks/ ","Aces: https://hprc.tamu.edu/software/aces/ 
Bridges-2: https://www.psc.edu/resources/software/anaconda3 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2021.11, 2022.05, 2022.10, 2023.03-1, 2023.07-2, 2024.02-1
Bridges-2: 2020.07, 2020.11, 2022.10
Expanse: Kfluefz, Q4Munrg
Faster: 2020.11, 2021.05, 2021.11, 2022.05, 2022.10, 2023.03-1, 2023.07-2, ..."
anaconda3_cpu,Delta,Application,Python And R Repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ 
https://www.youtube.com/watch?v=YJC6ldI3hWk 
https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x 
https://docs.anaconda.com/ae-notebooks/ ",Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html,"Delta: 23.3.1, 23.7.4"
anaconda3_gpu,Delta,Application,Python And R Repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ 
https://www.youtube.com/watch?v=YJC6ldI3hWk 
https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x 
https://docs.anaconda.com/ae-notebooks/ ",Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html,"Delta: 22.10.0, 23.3.1, ..."
anaconda3_mi100,Delta,Application,Python And R Repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ 
https://www.youtube.com/watch?v=YJC6ldI3hWk 
https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x 
https://docs.anaconda.com/ae-notebooks/ ",Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html,"Delta: 4.14.0, 23.7.4"
anaconda3_rcpu,Delta,Application,Python And R Repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ 
https://www.youtube.com/watch?v=YJC6ldI3hWk 
https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x 
https://docs.anaconda.com/ae-notebooks/ ",Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html,Delta: 22.9.0
anaconda3_x86_64,Delta,,,,,,,,,Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html,"Delta: 23.3.1, 23.7.4"
ananse,Anvil,Application,Bioinformatics,Sciences,Biology,ANANSE is a computational approach to infer enhancer-based gene regulatory networks (GRNs) and to identify key transcription factors between two GRNs.,https://github.com/vanheeringen-lab/ANANSE,https://anansepy.readthedocs.io/en/master/,https://anansepy.readthedocs.io/en/master/examples/,Anvil: https://www.rcac.purdue.edu/software/ananse,Anvil: 0.4.0
anchorwave,Anvil,Application,Bioinformatics,Sciences,Biology,"Anchorwave is used for sensitive alignment of genomes with high sequence diversity, extensive structural polymorphism and whole-genome duplication variation.",https://github.com/baoxingsong/AnchorWave,https://github.com/baoxingsong/AnchorWave,https://github.com/baoxingsong/AnchorWave?tab=readme-ov-file#example,Anvil: https://www.rcac.purdue.edu/software/anchorwave,"Anvil: 1.0.1, 1.1.1"
angsd,"Anvil, Faster",Application,Bioinformatics,Sciences,Biology,Angsd is a software for analyzing next generation sequencing data.,https://github.com/ANGSD/angsd,https://www.popgen.dk/angsd/index.php/ANGSD,https://www.popgen.dk/angsd/index.php/Quick_Start,"Anvil: https://www.rcac.purdue.edu/software/angsd 
Faster: https://hprc.tamu.edu/software/faster/","Anvil: 0.935, 0.937, 0.939, 0.940
Faster: 0.935"
annogesic,Anvil,Application,Bioinformatics,Sciences,Biology,ANNOgesic is the swiss army knife for RNA-Seq based annotation of bacterial/archaeal genomes.,https://github.com/Sung-Huan/ANNOgesic,https://annogesic.readthedocs.io/en/latest/index.html,https://annogesic.readthedocs.io/en/latest/tutorial.html,Anvil: https://www.rcac.purdue.edu/software/annogesic,Anvil: 1.1.0
