Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,Example Software Use (link),Area-specific Examples,Containerized Version of Software,RP Documentations for Software,Pathing
alphafold,"aces, anvil, darwin, faster",application,"modeling, bioinformatics",Sciences,"Chemistry, Biology","AlphaFold, the state-of-the-art AI system developed by DeepMind, is able to computationally predict protein structures with unprecedented accuracy and speed. Description Source:https://alphafold.ebi.ac.uk/about ",https://alphafold.ebi.ac.uk/,https://github.com/google-deepmind/alphafold,https://github.com/google-deepmind/alphafold?tab=readme-ov-file#installation-and-running-your-first-prediction,,,,
alphapickle,"aces, faster",,,,,,,,,,,,
alsa-lib,faster,,,,,,,,,,,,
amask,stampede3,application,,,,"The amask tool exposes the process masks (affinity) of an application will have in a parallel environment, so that users can determine the cores/hardware-threads where each process is allowed to run.",https://tacc.utexas.edu/research/tacc-research/amask/,https://github.com/TACC/amask,https://github.com/TACC/amask/blob/master/README,,,,
amber,"anvil, expanse, faster",module,"simulation, bioinformatics",Sciences,Chemistry,Amber is a suite of biomolecular simulation programs together with Amber tools.,https://ambermd.org/,https://ambermd.org/doc12/Amber23.pdf,https://ambermd.org/tutorials/,,,,
ambertools,"aces, faster",,,,,,,,,,,,
amd-rocm,darwin,,,,,,,,,,,,
amd-uprof,darwin,,,,,,,,,,,,
amdblis,"anvil, expanse",,,,,,,,,,,,
amdfftw,"anvil, expanse",,,,,,,,,,,,
amdlibflame,"anvil, expanse",,,,,,,,,,,,
amdlibm,"anvil, expanse",,,,,,,,,,,,
amdscalapack,"anvil, expanse",,,,,,,,,,,,
amduprof,"delta, expanse",,profiling tool,,,"AMD uProf (“MICRO-prof”) is a software profiling analysis tool for x86 applications running on Windows, Linux and FreeBSD operating systems and provides event information unique to the AMD “Zen”-based processors and AMD Instinct™ MI Series accelerators. AMD uProf enables the developer to better understand the limiters of application performance and evaluate improvements.",https://www.amd.com/en/developer/uprof.html,https://www.amd.com/content/dam/amd/en/documents/developer/uprof-v4.0-gaGA-user-guide.pdf,https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/debug_perf.html,,,,
amos,faster,,,,,,,,,,,,
amphora2,faster,,,,,,,,,,,,
amptk,anvil,,,,,,,,,,,,
anaconda,"anvil, darwin, jetstream, ookami",application,"Python and R repo, AI",,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,,
anaconda2,bridges,,,,,,,,,,,,
anaconda3,"aces, bridges, expanse, faster",application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,,
anaconda3_cpu,delta,application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,,
anaconda3_gpu,delta,application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,,
anaconda3_mi100,delta,application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,,
anaconda3_rcpu,delta,application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,,
anaconda3_x86_64,delta,,,,,,,,,,,,
ananse,anvil,,,,,,,,,,,,
anchorwave,anvil,,,,,,,,,,,,
angsd,"anvil, faster",,,,,,,,,,,,
annogesic,anvil,,,,,,,,,,,,
annovar,anvil,,,,,,,,,,,,
ansys,"bridges, faster",application,"simulation, modeling, engineering, fluid dynamics",Engineering,Mechanical Engineering,"ANSYS is an engineering simulation software used for testing and predicting the behavior of components and systems in various fields. It offers tools for finite element analysis (FEA), computational fluid dynamics (CFD), and other multiphysics simulations, enabling engineers to analyze performance, durability, and fluid dynamics under real-world conditions.",https://www.ansys.com/,,,,,,
ant,"aces, expanse, faster",toolkit,,,,"Apache Ant is a Java library and command-line tool whose mission is to drive processes described in build files as targets and extension points dependent upon each other. The main known usage of Ant is the build of Java applications. Ant supplies a number of built-in tasks allowing to compile, assemble, test and run Java applications. Description Source:https://ant.apache.org/",https://ant.apache.org/,https://ant.apache.org/manual/,"https://www.tutorialspoint.com/ant/ant_quick_guide.htm , https://www.vogella.com/tutorials/ApacheAnt/article.html ",,,,
antismash,anvil,,,,,,,,,,,,
antlr,"aces, faster",toolkit,Compilers,,,"ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or translating structured text or binary files. Description Source:https://www.antlr.org/",https://www.antlr.org/,https://www.antlr.org/api/,https://tomassetti.me/antlr-mega-tutorial/,,,,
anvio,"anvil, bridges",,,,,,,,,,,,
any2fasta,"anvil, faster",,,,,,,,,,,,
aocc,"aces, anvil, bridges, delta, expanse, faster, ookami",service,Compilers,,,"AOCC a set of production compilers optimized for software performance when running on AMD host processors using the AMD “Zen” core architecture.The AOCC compiler environment simplifies and accelerates development and tuning for x86 applications built with C, C++, and Fortran languages. Description Source:https://www.amd.com/en/developer/aocc.html ",https://www.amd.com/en/developer/aocc.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocc/aocc-4.1-user-guide.pdf,,,,,
aocc compiler,jetstream,service,Compilers,,,"AOCC a set of production compilers optimized for software performance when running on AMD host processors using the AMD “Zen” core architecture.The AOCC compiler environment simplifies and accelerates development and tuning for x86 applications built with C, C++, and Fortran languages. Description Source:https://www.amd.com/en/developer/aocc.html ",https://www.amd.com/en/developer/aocc.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocc/aocc-4.1-user-guide.pdf,,,,,
aocl,"bridges, darwin",,Compilers,,,AOCL is a set of numerical libraries optimized for AMD processors based on the AMD “Zen” core architecture and generations. The tuned implementations of industry-standard math libraries enable rapid development of scientific and high-performance computing applications. Description Source:https://www.amd.com/en/developer/aocl.html,https://www.amd.com/en/developer/aocl.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocl/aocl-4-1-user-guide.pdf,,,,,
aocl-sparse,expanse,,,,,,,,,,,,
apptainer,jetstream,applicaiton,Container management ,,,"Apptainer, formerly known as Singularity, is an open-source container platform designed to create portable and reproducible environments for scientific computing. It allows users to package applications, their dependencies, and data in a single container that can be run consistently across different computing environments. Description Source: https://apptainer.org/",https://apptainer.org/,https://apptainer.org/documentation/,https://apptainer.org/docs/user/main/quick_start.html,,,,
apr,"aces, faster",library,,,,"APR (Apache Portable Runtime) is a library that provides a set of APIs designed to abstract away the details of the operating system, thereby offering a consistent interface for programming tasks across different platforms. It facilitates the development of portable applications by providing a standardized set of functions for network communication, file system access, and other system utilities, enhancing portability and reducing the complexity of handling OS-specific differences.",https://apr.apache.org/,https://apr.apache.org/docs/apr/1.7/modules.html,https://people.apache.org/~rooneg/talks/portable-c-with-apr/apr.html,,,,
apr-util,"aces, faster",library,,,,"APR-util is a companion library to the Apache Portable Runtime (APR) that provides a set of additional utilities and interfaces for tasks such as database connectivity, XML parsing, and data structures management. It extends the core functionality of APR, offering developers a broader set of tools for building highly portable and scalable applications across different platforms.",https://apr.apache.org/,https://apr.apache.org/docs/apr-util/1.6/modules.html,https://www.linuxfromscratch.org/blfs/view/svn/general/apr-util.html,,,,
arcade-learning-environment,faster,,,,,,,,,,,,
archive-zip,faster,,,,,,,,,,,,
archspec,"aces, faster",library,,,,"Archspec aims at providing a standard set of human-understandable labels for various aspects of a system architecture like CPU, network fabrics, etc. and APIs to detect, query and compare them. Description Source:https://github.com/archspec/archspec ",https://github.com/archspec/archspec,https://archspec.readthedocs.io/en/latest/,https://archspec.readthedocs.io/en/latest/getting_started.html,,,,
arcs,anvil,,,,,,,,,,,,
aria2,"expanse, faster",Utility,Data Transfer Tool,,,"aria2 is a utility for downloading files. The supported protocols are HTTP(S), FTP, SFTP, BitTorrent, and Metalink. aria2 can download a file from multiple sources/protocols and tries to utilize your maximum download bandwidth. Description Source:https://aria2.github.io/manual/en/html/aria2c.html",https://aria2.github.io/,https://aria2.github.io/manual/en/html/aria2c.html,https://aria2.github.io/manual/en/html/aria2c.html#example,,,,
aria2-1.15.1,faster,,,,,,,,,,,,
ariba,anvil,,,,,,,,,,,,
arm,ookami,,,,,,https://developer.arm.com/,https://developer.arm.com/documentation/,https://learn.arm.com/?icid=devhub:developer:all-pages:nav-link,,,,
arm-forge,expanse,,,,,,,,,,,,
arm-gnu-toolchain,aces,,,,,,,,,,,,
arm-gnu-toolchaint,aces,,,,,,,,,,,,
armadillo,"aces, delta, expanse, faster",library,mathematics,Engineering,Mathematics,"Armadillo is a high quality linear algebra library (matrix maths) for the C++ language, aiming towards a good balance between speed and ease of use. It provides high-level syntax and functionality deliberately similar to Matlab. Description Source:https://arma.sourceforge.net/",https://arma.sourceforge.net/,https://arma.sourceforge.net/docs.html,https://arma.sourceforge.net/docs.html#example_prog,,,,
arpack,"darwin, stampede3",library,mathematics,,Mathematics,ARPACK is a collection of Fortran77 subroutines designed to solve large scale eigenvalue problems. (This library is no longer maintained) Description Source:https://lacsi.rice.edu/software/arpak/default.htm,https://github.com/inducer/arpack,http://li.mit.edu/Archive/Activities/Archive/CourseWork/Ju_Li/MITCourses/18.335/Doc/ARPACK/Lehoucq97.pdf,https://github.com/inducer/arpack/tree/master/EXAMPLES,,,,
arpack-ng,"aces, anvil, expanse, faster",library,mathematics,,Mathematics,ARPACK-NG is a collection of Fortran77 subroutines designed to solve large scale eigenvalue problems.,https://github.com/opencollab/arpack-ng,https://github.com/opencollab/arpack-ng/tree/master/DOCUMENTS,https://github.com/opencollab/arpack-ng/tree/master/PARPACK/EXAMPLES,,,,
arrayfire,expanse,,,,,,,,,,,,
arriba,bridges,application,,,,Arriba is a command-line tool for the detection of gene fusions from RNA-Seq data. It was developed for the use in a clinical research setting. Description Source:https://github.com/suhrig/arriba,https://github.com/suhrig/arriba,https://arriba.readthedocs.io/en/latest/,https://hpc.nih.gov/apps/arriba.html,,,,
arrow,"aces, faster",,,,,Apache Arrow is a development platform for in-memory analytics. It contains a set of technologies that enable big data systems to process and move data fast. Description Source:https://arrow.apache.org/docs/,https://arrow.apache.org/,https://arrow.apache.org/docs/,"https://arrow.apache.org/cookbook/cpp/ , https://arrow.apache.org/cookbook/java/ , https://arrow.apache.org/cookbook/py/ , https://arrow.apache.org/cookbook/r/ ",,,,
arrow-r,faster,,,,,,,,,,,,
arviz,faster,,,,,,,,,,,,
ascatngs,anvil,,,,,,,,,,,,
asciinema,bridges,application,,,,"asciinema is a suite of tools for recording, replaying, and sharing terminal sessions. Description Source:https://docs.asciinema.org/",https://asciinema.org/,https://docs.asciinema.org/,https://docs.asciinema.org/getting-started/,,,,
ase,"aces, faster",,,,,"ASE is an Atomic Simulation Environment written in the Python programming language with the aim of setting up, steering, and analyzing atomistic simulations. Description Source:https://wiki.fysik.dtu.dk/ase/index.html",https://wiki.fysik.dtu.dk/ase/,https://wiki.fysik.dtu.dk/ase/ase/ase.html,https://wiki.fysik.dtu.dk/ase/tutorials/tutorials.html#tutorials,,,,
asgal,anvil,,,,,,,,,,,,
aspera-connect,"anvil, bridges",application,Data transfer Tool,,,IBM Aspera Connect is an install-on-demand application that facilitates high-speed uploads and downloads with an Aspera transfer server. Description Source:https://www.ibm.com/docs/en/aspera-connect/4.1?topic=aspera-connect-user-guide-linux,https://www.ibm.com/aspera/connect/,https://www.ibm.com/docs/en/aspera-connect/4.1?topic=aspera-connect-user-guide-linux,https://www.ibm.com/docs/en/aspera-connect/4.2?topic=linux-setting-up-connect,,,,
assembly-stats,anvil,,,,,,,,,,,,
assimp,aces,,,,,,,,,,,,
astropy,faster,,,,,,,,,,,,
at-spi2-atk,"aces, faster",,,,,"at-spi2-atk is a part of the Assistive Technology Service Provider Interface (AT-SPI) infrastructure, which is an integral element of the GNOME accessibility project. AT-SPI is a set of tools that provides a way for assistive technologies to interact with graphical user interfaces.",https://wiki.gnome.org/Accessibility,https://gnome.pages.gitlab.gnome.org/atk/,https://help.gnome.org/users/gnome-help/stable/a11y.html,,,,
at-spi2-core,"aces, faster",,,,,"AT-SPI2-Core is the central component of the Assistive Technology Service Provider Interface, providing APIs for assistive technologies to interact with Linux desktop applications, thereby enhancing accessibility for users with disabilities.",https://gitlab.gnome.org/GNOME/at-spi2-core/,https://gnome.pages.gitlab.gnome.org/at-spi2-core/atk/,https://wiki.gnome.org/Accessibility/ATK/BestPractices,,,,
atac-seq-pipeline,anvil,,,,,,,,,,,,
ataqv,anvil,,,,,,,,,,,,
atk,"aces, faster",,,,,"ATK provides the set of accessibility interfaces that are implemented by other toolkits and applications. Using the ATK interfaces, accessibility tools have full access to view and control running applications. Description Source:https://hprc.tamu.edu/software/aces/",https://gitlab.gnome.org/Archive/atk,https://docs.gtk.org/atk/,https://wiki.gnome.org/Accessibility/ATK/BestPractices,,,,
atlas,darwin,library,"Modeling, Climate modeling",Sciences,,A library for Numerical Weather Prediction and Climate Modelling,https://github.com/ecmwf/atlas,https://sites.ecmwf.int/docs/atlas/c++/,https://confluence.ecmwf.int/display/ATLAS/User+guide?preview=/66984475/66984474/Atlas-user-guide-0.8.0.pdf,,,,
atop,delta,,,,,,,,,,,,
atp,delta,,,,,,,,,,,,
atram,anvil,,,,,,,,,,,,
atropos,anvil,,,,,,,,,,,,
attrdict3,"aces, faster",,,,,,,,,,,,
augur,anvil,,,,,,,,,,,,
augustus,"anvil, bridges",,Bioinformatics,Sciences,Biology,"AUGUSTUS is a program that predicts genes in eukaryotic genomic sequences. It can be run on this web server, on a new web server for larger input files or be downloaded and run locally. Description Source:https://bioinf.uni-greifswald.de/augustus/",https://bioinf.uni-greifswald.de/augustus/,https://github.com/Gaius-Augustus/Augustus/tree/master,https://vcru.wisc.edu/simonlab/bioinformatics/programs/augustus/docs/tutorial2015/training.html,,,,
autoconf,"aces, darwin, faster, kyric",service,Utilities,,,"Autoconf is a tool for automatically configuring software source code packages to adapt to specific systems, providing a standardized interface for compatibility checks and configuration settings. It is commonly used in the compilation and installation of software on various platforms.",https://www.gnu.org/software/autoconf/,https://www.gnu.org/software/autoconf/manual/,"https://www.lrde.epita.fr/~adl/autotools.html,https://www.sourceware.org/autobook/ ",,,,
autoconf-archive,kyric,service,Utilities,,,"Autoconf is a tool for automatically configuring software source code packages to adapt to specific systems, providing a standardized interface for compatibility checks and configuration settings. It is commonly used in the compilation and installation of software on various platforms.",,,,,,,
autodock,anvil,application,"docking, structural biology",,,"AutoDock is a suite of automated docking tools. It is designed to predict how small molecules, such as substrates or drug candidates, bind to a receptor of known 3D structure. Description Source:https://autodock.scripps.edu/",https://autodock.scripps.edu/,https://autodock.scripps.edu/documentation/documentation/,https://ccsb.scripps.edu/projects/docking/,,,,
autodock-gpu,faster,,,,,,,,,,,,
autodock-vina,faster,,,,,,,,,,,,
automake,"aces, faster, kyric",service,Utilities,,,"Automake is a tool used in software development to automatically generate Makefiles for building software projects. It simplifies the process of managing dependencies, compiling source code, and creating executable binaries by automatically generating build rules.",https://www.gnu.org/software/automake/automake.html,https://www.gnu.org/software/automake/manual/automake.html,https://www.lrde.epita.fr/~adl/autotools.html,,,,
autotools,"aces, faster, kyric, stampede3",service,Utilities,,,"Autotools refers to a suite of tools including Autoconf, Automake, and Libtool used in software development for ensuring portability and simplifying the build process. Autoconf is for creating configure scripts, Automake for generating Makefiles, and Libtool for handling shared libraries.",https://autotools.info,,https://autotools.info/examples.html,,,,
aws-cli,"anvil, delta",utility,Data Transfer tool,,,The AWS Command Line Interface (AWS CLI) is a unified tool to manage your AWS services. Description Source:https://aws.amazon.com/cli/,https://aws.amazon.com/cli/,https://docs.aws.amazon.com/cli/,https://aws.amazon.com/training/,,,,
awscli,faster,,,,,,,,,,,,
axl,faster,,,,,,,,,,,,
bactopia,anvil,,,,,,,,,,,,
bali-phy,"anvil, faster",,,,,,,,,,,,
bam-readcount,anvil,,,,,,,,,,,,
bamgineer,anvil,,,,,,,,,,,,
bamkit,faster,,,,,,,,,,,,
bamliquidator,anvil,,,,,,,,,,,,
bamsurgeon,anvil,,,,,,,,,,,,
bamtools,"aces, anvil, bridges, expanse, faster",,Bioinformatics,Sciences,Biology,"BamTools is a project that provides both a C++ API and a command-line toolkit for reading, writing, and manipulating BAM (genome alignment) files. Description Source:https://github.com/pezmaster31/bamtools/wiki",https://github.com/pezmaster31/bamtools,https://github.com/pezmaster31/bamtools/wiki,https://genome.sph.umich.edu/wiki/BamUtil:_convert,,,,
bamutil,anvil,,,,,,,,,,,,
banner,delta,,,,,,https://www.ibm.com/docs/en/aix/7.3?topic=b-banner-command,https://linuxcommandlibrary.com/man/banner,,,,,
barrnap,anvil,,,,,,,,,,,,
basenji,anvil,,,,,,,,,,,,
bat,bridges,,,,,,,,,,,,
bayescan,anvil,,,,,,,,,,,,
bazam,anvil,,,,,,,,,,,,
bazel,"aces, bridges, faster",,,,,Bazel is a build tool that builds code quickly and reliably. It is used to build the majority of Google's software. Description Source:https://hprc.tamu.edu/software/aces/,https://bazel.build/,https://bazel.build/docs,"https://bazel.build/docs#tutorials, https://bazel.build/start/cpp",,,,
bbmap,"aces, anvil, bridges, faster",,,,,,,,,,,,
bbtools,anvil,,,,,,,,,,,,
bcftools,"anvil, bridges, expanse, faster",,Bioinformatics,Sciences,Biology,BCFtools is a program for variant calling and manipulating files in the Variant Call Format (VCF) and its binary counterpart BCF. Description Source:https://samtools.github.io/bcftools/howtos/index.html,https://github.com/samtools/bcftools,https://www.htslib.org/doc/bcftools.html,https://samtools.github.io/bcftools/howtos/query.html,,,,
bcl2fastq,anvil,utility,Bioinformatics,Sciences,Biology,"BCL2FASTQ is a software tool that converts raw sequencing data from Illumina sequencing instruments into the FASTQ format, enabling bioinformatic analysis of genomic sequences.",https://support.illumina.com/sequencing/sequencing_software/bcl2fastq-conversion-software.html,https://support.illumina.com/content/dam/illumina-support/documents/documentation/software_documentation/bcl2fastq/bcl2fastq2-v2-20-software-guide-15051736-03.pdf,https://www.youtube.com/watch?v=gz3H_pcLe7c,,,,
beagle,anvil,,,,,,,,,,,,
beagle-lib,faster,,,,,,,,,,,,
beast,faster,,,,,,,,,,,,
beast1,expanse,,,,,,,,,,,,
beast2,"anvil, expanse",,,,,,,,,,,,
beautifulsoup,"aces, faster",library,Python library for parsing,,,"Beautiful Soup is a Python library for pulling data out of HTML and XML files. It works with your favorite parser to provide idiomatic ways of navigating, searching, and modifying the parse tree. Description Source:https://www.crummy.com/software/BeautifulSoup/bs4/doc/",https://www.crummy.com/software/BeautifulSoup/,https://www.crummy.com/software/BeautifulSoup/bs4/doc/,"https://www.datacamp.com/tutorial/web-scraping-using-python , https://www.tutorialspoint.com/beautiful_soup/beautiful_soup_quick_guide.htm ",,,,
bedops,"anvil, bridges",toolkit,Bioinformatics,Sciences,Biology,"BEDOPS is an open-source command-line toolkit that performs highly efficient and scalable Boolean and other set operations, statistical calculations, archiving, conversion and other management of genomic data of arbitrary scale. Description Source:https://bedops.readthedocs.io/en/latest/",https://bedops.readthedocs.io/en/latest/,https://bedops.readthedocs.io/en/latest/content/reference.html,https://bedops.readthedocs.io/en/latest/content/usage-examples.html,,,,
bedtools,"aces, anvil, bridges, faster",,Bioinformatics,Sciences,Biology,"Collectively, the bedtools utilities are a swiss-army knife of tools for a wide-range of genomics analysis tasks. The most widely-used tools enable genome arithmetic: that is, set theory on the genome. Description Source:https://bedtools.readthedocs.io/en/latest/",https://github.com/arq5x/bedtools,https://bedtools.readthedocs.io/en/latest/,https://bedtools.readthedocs.io/en/latest/content/tools/intersect.html,,,,
bedtools2,expanse,,Bioinformatics,Sciences,Biology,"Collectively, the bedtools utilities are a swiss-army knife of tools for a wide-range of genomics analysis tasks. The most widely-used tools enable genome arithmetic: that is, set theory on the genome. Description Source:https://bedtools.readthedocs.io/en/latest/",https://github.com/arq5x/bedtools2,https://bedtools.readthedocs.io/en/latest/content/bedtools-suite.html,"https://bedtools.readthedocs.io/en/latest/content/example-usage.html , https://sandbox.bio/tutorials/bedtools-intro ",,,,
berkeley-db,"expanse, kyric",,,,,Berkeley DB is a family of embedded key-value database libraries providing scalable high-performance data management services to applications. Description Source:https://docs.oracle.com/database/bdb181/,https://www.oracle.com/database/technologies/related/berkeleydb.html,https://libdb.org/docs/db/5.3.21/,"https://docs.oracle.com/database/bdb181/ , https://www.oracle.com/database/technologies/berkeleydb-db-faq.html ",,,,
berkeley-upc,faster,,,,,,,,,,,,
binutils,"aces, darwin, faster",,Utilities,,,"The GNU Binutils are a collection of binary tools. The main ones are: ld (the GNU linker), as (the GNU assembler), and gold (a new, faster, ELF only linker). Description Source:https://www.gnu.org/software/binutils/",https://www.gnu.org/software/binutils/,https://sourceware.org/binutils/docs-2.42/,https://sourceware.org/binutils/docs-2.34/ld/Options.html#Options,,,,
bio-db-hts,faster,,,,,,,,,,,,
bioawk,"anvil, faster",,,,,,,,,,,,
biobambam,anvil,,,,,,,,,,,,
biocontainers,"anvil, stampede3",,Container,Sciences,Biology,"BioContainers is a community-driven project that provides the infrastructure and basic guidelines to create, manage and distribute bioinformatics packages (e.g conda) and containers (e.g docker, singularity). Description Source:https://biocontainers-edu.readthedocs.io/en/latest/what_is_biocontainers.html",https://biocontainers.pro/,https://biocontainers-edu.readthedocs.io/en/latest/,https://biocontainers-edu.readthedocs.io/en/latest/examples.html,,,,
bioconvert,anvil,,,,,,,,,,,,
bioformats,bridges,,,,,,,,,,,,
