id,software_name,rp_software,description,software_type,software_class,research_area,research_discipline,id,website_links,documents,examples,area_specific,containers,rp_documents
11,actc,"aces, anvil, faster","ACTC is a graphics optimization tool that enhances the rendering efficiency of 3D models by restructuring their geometric data. It's particularly useful in applications using OpenGL and Direct3D, where it can significantly improve rendering speed and reduce computational load. Description Source:https://plunk.org/~grantham/public/actc/README",application,modeling,General,"Biology, Mathematics",11,https://plunk.org/~grantham/public/actc/,https://plunk.org/~grantham/public/actc/manual.html,https://plunk.org/~grantham/public/actc/tcsample.c,,,
12,adapterremoval,"anvil, faster","AdapterRemoval searches for and removes adapter sequences from High-Throughput Sequencing (HTS) data and (optionally) trims low quality bases from the 3 end of reads following adapter removal. AdapterRemoval can analyze both single end and paired end data, and can be used to merge overlapping paired-ended reads into (longer) consensus sequences. Additionally, AdapterRemoval can construct a consensus adapter sequence for paired-ended reads, if which this information is not available.",application,bioinformatics,Sciences,Biology,12,https://github.com/MikkelSchubert/adapterremoval,https://adapterremoval.readthedocs.io/en/stable/,https://adapterremoval.readthedocs.io/en/stable/examples.html,,,
13,adios2,expanse,"ADIOS2 is developed as part of the United States Department of Energy's Exascale Computing Project. It is a framework for scientific data I/O to publish and subscribe to data when and where required. ADIOS2 transports data as groups of self-describing variables and attributes across different media types (such as files, wide-area-networks, and remote direct memory access) using a common application programming interface for all transport modes. ADIOS2 can be used on supercomputers, cloud systems, and personal computers.",framework,HPC Application,Sciences,Computer Science,13,https://github.com/ornladios/ADIOS2,https://adios2.readthedocs.io/en/v2.10.0/,https://adios2.readthedocs.io/en/v2.10.0/tutorials/basicTutorials.html,,,
14,adol-c,expanse,"ADOL-C is an operator overloading based AD-tool that allows to compute derivatives for functions given as C or C++ source code. ADOL-C can handle codes based on classes, templates and other advanced C++-features. The resulting derivative evaluation routines may be called from C, C++, Fortran, or any other language that can be linked with C.",application,mathematics,Engineering,Mathematics,14,https://github.com/coin-or/ADOL-C,https://github.com/coin-or/ADOL-C/tree/master/ADOL-C/doc,https://github.com/coin-or/ADOL-C/tree/master/ADOL-C/examples,,,
15,advisor,"kyric, stampede3","Intel Advisor is a performance analysis tool designed to help developers optimize and parallelize their software on Intel architectures. It provides insights for efficient vectorization, threading, and offloading to accelerators, aiding in achieving maximum performance from applications.",service,,,,15,https://www.intel.com/content/www/us/en/developer/tools/oneapi/advisor.html,https://www.intel.com/content/www/us/en/docs/advisor/get-started-guide/2023-1/overview.html,,,,
16,advntr,anvil,adVNTR is a tool for genotyping Variable Number Tandem Repeats (VNTR) from sequence data. It works with both NGS short reads (Illumina HiSeq) and SMRT reads (PacBio) and finds diploid repeating counts for VNTRs and identifies possible mutations in the VNTR sequences.,application,bioinformatics,Sciences,Biology,16,https://github.com/mehrdadbakhtiari/adVNTR,https://advntr.readthedocs.io/en/latest/index.html,https://advntr.readthedocs.io/en/latest/tutorial.html,,,
17,aesara,faster,"Aesara is a Python library that allows one to define, optimize, and efficiently evaluate mathematical expressions involving multi-dimensional arrays.",application,mathematics,Engineering,Mathematics,17,https://github.com/aesara-devs/aesara,https://aesara.readthedocs.io/en/latest/,https://aesara.readthedocs.io/en/latest/reference/index.html,,,
18,aflow,faster,"AFLOW is a comprehensive software framework for autonomous density functional theory calculations and materials properties analysis. It offers diverse tools and modules for structure analysis, property prediction, and error correction, including thermodynamic stability analysis and modeling of chemically disordered materials, with public access through the AFLOW website and search API.",framework,materials,Sciences,Materials,18,https://aflowlib.org/,https://aflow.org/aflow-school/,https://aflow.org/aflow-school/,,,
19,afplot,anvil,Afplot is a tool to plot allele frequencies in VCF files.,application,bioinformatics,Sciences,Biology,19,https://github.com/sndrtj/afplot,,https://github.com/sndrtj/afplot#Examples,,,
20,afterqc,anvil,"Automatic Filtering, Trimming, Error Removing and Quality Control for fastq data. AfterQC can simply go through all fastq files in a folder and then output three folders: good, bad and QC folders, which contains good reads, bad reads and the QC results of each fastq file/pair.",application,bioinformatics,Sciences,Biology,20,https://github.com/OpenGene/AfterQC,https://github.com/OpenGene/AfterQC,https://github.com/OpenGene/AfterQC#Simple-usage,,,
21,agat,anvil,Agat is a suite of tools to handle gene annotations in any GTF/GFF format,toolkit,bioinformatics,Sciences,Biology,21,https://github.com/NBISweden/AGAT?tab=readme-ov-file,https://agat.readthedocs.io/en/latest/index.html,https://agat.readthedocs.io/en/latest/agat_how_does_it_work.html,,,
22,agfusion,anvil,AGFusion (pronounced 'A G Fusion') is a python package for annotating gene fusions from the human or mouse genomes.,application,bioinformatics,Sciences,Biology,22,https://github.com/murphycj/AGFusion,https://github.com/murphycj/AGFusion,"https://github.com/murphycj/AGFusion?tab=readme-ov-file#examples , https://www.agfusion.app/",,,
23,ai,bridges-2,PyTorch AI development environment,service,environment,,,23,,https://www.psc.edu/resources/software/ai/,,,,
24,aiohttp,"aces, faster",aiohttp is an asynchronous HTTP Client/Server for asyncio and Python. Description Source:https://docs.aiohttp.org/en/stable/,library,networking,,,24,https://github.com/aio-libs/aiohttp,https://docs.aiohttp.org/en/stable/,,,,
25,alfred,anvil,Alfred is an efficient and versatile command-line application that computes multi-sample quality control metrics in a read-group aware manner.,application,bioinformatics,Sciences,Biology,25,https://github.com/tobiasrausch/alfred,https://www.gear-genomics.com/docs/alfred/,https://www.gear-genomics.com/docs/alfred/cli/,,,
26,alien-hunter,anvil,Alien-hunter is an application for the prediction of putative Horizontal Gene Transfer (HGT) events with the implementation of Interpolated Variable Order Motifs (IVOMs).,application,bioinformatics,Sciences,Biology,26,https://www.sanger.ac.uk/tool/alien_hunter/,,,,,
27,alignstats,anvil,"AlignStats produces various alignment, whole genome coverage, and capture coverage metrics for sequence alignment files in SAM, BAM, and CRAM format.",application,bioinformatics,Sciences,Biology,27,https://github.com/jfarek/alignstats,https://github.com/jfarek/alignstats,https://github.com/jfarek/alignstats?tab=readme-ov-file#usage-examples,,,
28,all-architectures,ookami,,,,,,28,,,,,,
29,allocations,bridges-2,PSC Allocations usage utilities,,,,,29,,,,,,
30,allpathslg,anvil,Allpathslg is a whole-genome shotgun assembler that can generate high-quality genome assemblies using short reads.,application,bioinformatics,Sciences,Biology,30,https://software.broadinstitute.org/allpaths-lg/blog/,,,,,
31,alphafold,"aces, anvil, darwin, faster","AlphaFold, the state-of-the-art AI system developed by DeepMind, is able to computationally predict protein structures with unprecedented accuracy and speed. Description Source:https://alphafold.ebi.ac.uk/about ",application,"modeling, bioinformatics",Sciences,"Chemistry, Biology",31,https://alphafold.ebi.ac.uk/,https://github.com/google-deepmind/alphafold,https://github.com/google-deepmind/alphafold?tab=readme-ov-file#installation-and-running-your-first-prediction,,,
32,alphapickle,"aces, faster","AlphaPickle is a versatile Python script designed to extract and present output data from DeepMind's ALPHAFOLD protein prediction algorithm, simplifying complex .pkl and .json files into user-friendly formats, alongside generating plots for easier analysis.",application,"modeling, bioinformatics",Sciences,"Chemistry, Biology",32,,https://github.com/mattarnoldbio/alphapickle,https://github.com/mattarnoldbio/alphapickle,,,
33,alsa-lib,faster,The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI functionality to the Linux operating system. Description Source:https://www.alsa-project.org/wiki/Main_Page,library,,,,33,https://www.alsa-project.org/wiki/Main_Page,https://www.alsa-project.org/wiki/Documentation,,,,
34,amask,stampede3,"The amask tool exposes the process masks (affinity) of an application will have in a parallel environment, so that users can determine the cores/hardware-threads where each process is allowed to run.",application,,,,34,https://tacc.utexas.edu/research/tacc-research/amask/,https://github.com/TACC/amask,https://github.com/TACC/amask/blob/master/README,,,
35,amber,"anvil, expanse, faster",Amber is a suite of biomolecular simulation programs together with Amber tools.,module,"simulation, bioinformatics",Sciences,Chemistry,35,https://ambermd.org/,https://ambermd.org/doc12/Amber23.pdf,https://ambermd.org/tutorials/,,,
36,ambertools,"aces, faster","Ambertools is a suite can of complete molecular dynamics simulations, with either explicit water or generalized Born solvent models.",module,"simulation, bioinformatics",Sciences,Chemistry,36,https://ambermd.org/AmberTools.php,https://ambermd.org/doc12/Amber23.pdf,https://ambermd.org/tutorials/,,,
37,amd-rocm,darwin,"AMD ROCm is a comprehensive software ecosystem tailored for GPU-accelerated computing tasks, offering robust support for parallel processing and machine learning applications.",toolkit,environment,,,37,https://www.amd.com/en/developer/resources/rocm-hub.html,https://rocm.docs.amd.com/en/latest/index.html,,,,
38,amd-uprof,darwin,"AMD uProf (“MICRO-prof”) is a software profiling analysis tool for x86 applications running on Windows, Linux and FreeBSD operating systems and provides event information unique to the AMD “Zen”-based processors and AMD Instinct™ MI Series accelerators. AMD uProf enables the developer to better understand the limiters of application performance and evaluate improvements.",,profiling tool,,,38,https://www.amd.com/en/developer/uprof.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-2-documents/uprof/uprof-user-guide-v4.2.pdf,,,,
39,amdblis,"anvil, expanse",AMD Optimized BLIS is a portable software framework for instantiating high-performance BLAS-like dense linear algebra libraries.,application,,,,39,https://www.amd.com/es/developer/aocl/blis.html,https://github.com/flame/blis,https://github.com/flame/blis,,,
40,amdfftw,"anvil, expanse","An AMD optimized version of FFTW. FFTW is a C subroutine library for computing the discrete Fourier transform (DFT) in one or more dimensions, of arbitrary input size, and of both real and complex data (as well as of even/odd data, i.e. the discrete cosine/sine transforms or DCT/DST). We believe that FFTW, which is free software, should become the FFT library of choice for most applications. Description Source:https://www.fftw.org/",library,mathematics,Engineering,Mathematics,40,https://www.fftw.org/,https://github.com/amd/amd-fftw,https://www.fftw.org/fftw3_doc/Tutorial.html,,,
41,amdlibflame,"anvil, expanse","libFLAME AMD Optimized version is a portable library for dense matrix computations, providing much of the functionality present in Linear Algebra Package LAPACK. It includes a compatibility layer, FLAPACK, which includes complete LAPACK implementation.",library,mathematics,Engineering,Mathematics,41,https://www.amd.com/en/developer/aocl/blis.html#AOCL-libflame,https://github.com/amd/libflame,,,,
42,amdlibm,"anvil, expanse",AMD LibM is a software library containing a collection of basic math functions optimized for x86-64 processor-based machines. It provides many routines from the list of standard C99 math functions. Applications can link into AMD LibM library and invoke math functions instead of compilers math functions for better accuracy and performance.,library,mathematics,Engineering,Mathematics,42,https://www.amd.com/de/developer/aocl/libm.html,https://github.com/amd/aocl-libm-ose,,,,
43,amdscalapack,"anvil, expanse",ScaLAPACK is a library of high-performance linear algebra routines for parallel distributed memory machines. It depends on external libraries including BLAS and LAPACK for Linear Algebra computations.,library,mathematics,Engineering,Mathematics,43,https://www.amd.com/de/developer/aocl/scalapack.html,https://github.com/amd/aocl-scalapack,,,,
44,amduprof,"delta, expanse","AMD uProf (“MICRO-prof”) is a software profiling analysis tool for x86 applications running on Windows, Linux and FreeBSD operating systems and provides event information unique to the AMD “Zen”-based processors and AMD Instinct™ MI Series accelerators. AMD uProf enables the developer to better understand the limiters of application performance and evaluate improvements.",,profiling tool,,,44,https://www.amd.com/en/developer/uprof.html,https://www.amd.com/content/dam/amd/en/documents/developer/uprof-v4.0-gaGA-user-guide.pdf,https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/debug_perf.html,,,
45,amos,faster,The AMOS consortium is committed to the development of open-source whole genome assembly software.,application,bioinformatics,Sciences,Biology,45,http://amos.sourceforge.net,https://amos.sourceforge.net/wiki/index.php/AMOS#Documentation,https://amos.sourceforge.net/wiki/index.php/Programmer%27s_guide,,,
46,amphora2,faster,An Automated Phylogenomic Inference Pipeline for Bacterial and Archaeal Sequences.,application,bioinformatics,Sciences,Biology,46,https://github.com/wu-lab-uva/AMPHORA2,,,,,
47,amptk,anvil,"Amptk is a series of scripts to process NGS amplicon data using USEARCH and VSEARCH, it can also be used to process any NGS amplicon data and includes databases setup for analysis of fungal ITS, fungal LSU, bacterial 16S, and insect COI amplicons.",application,bioinformatics,Sciences,Biology,47,https://github.com/nextgenusfs/amptk,https://amptk.readthedocs.io/en/latest/,,,,
48,anaconda,"anvil, darwin, jetstream, ookami","Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",application,"Python and R repo, AI",,,48,https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,
49,anaconda2,bridges-2,"Anaconda is a free and open-source distribution of the Python and R programming languages for scientific computing, that aims to simplify package management and deployment. Package versions are managed by the package management system conda.",,,,,49,,,,,,
50,anaconda3,"aces, bridges-2, expanse, faster","Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",application,Python and R repo,,,50,https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,
51,anaconda3_cpu,delta,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",application,Python and R repo,,,51,https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,
52,anaconda3_gpu,delta,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",application,Python and R repo,,,52,https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,
53,anaconda3_mi100,delta,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",application,Python and R repo,,,53,https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,
54,anaconda3_rcpu,delta,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",application,Python and R repo,,,54,https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,
55,anaconda3_x86_64,delta,,,,,,55,,,,,,
56,ananse,anvil,ANANSE is a computational approach to infer enhancer-based gene regulatory networks (GRNs) and to identify key transcription factors between two GRNs.,application,bioinformatics,Sciences,Biology,56,https://github.com/vanheeringen-lab/ANANSE,https://anansepy.readthedocs.io/en/master/,https://anansepy.readthedocs.io/en/master/examples/,,,
57,anchorwave,anvil,"Anchorwave is used for sensitive alignment of genomes with high sequence diversity, extensive structural polymorphism and whole-genome duplication variation.",application,bioinformatics,Sciences,Biology,57,https://github.com/baoxingsong/AnchorWave,https://github.com/baoxingsong/AnchorWave,https://github.com/baoxingsong/AnchorWave?tab=readme-ov-file#example,,,
58,angsd,"anvil, faster",Angsd is a software for analyzing next generation sequencing data.,application,bioinformatics,Sciences,Biology,58,https://github.com/ANGSD/angsd,https://www.popgen.dk/angsd/index.php/ANGSD,https://www.popgen.dk/angsd/index.php/Quick_Start,,,
59,annogesic,anvil,ANNOgesic is the swiss army knife for RNA-Seq based annotation of bacterial/archaeal genomes.,application,bioinformatics,Sciences,Biology,59,https://github.com/Sung-Huan/ANNOgesic,https://annogesic.readthedocs.io/en/latest/index.html,https://annogesic.readthedocs.io/en/latest/tutorial.html,,,
60,annovar,anvil,"ANNOVAR is an efficient software tool to utilize update-to-date information to functionally annotate genetic variants detected from diverse genomes (including human genome hg18, hg19, hg38, as well as mouse, worm, fly, yeast and many others).",application,bioinformatics,Sciences,Biology,60,https://annovar.openbioinformatics.org/en/latest/,https://annovar.openbioinformatics.org/en/latest/,https://annovar.openbioinformatics.org/en/latest/user-guide/startup/,,,
61,ansys,"bridges-2, faster","ANSYS is an engineering simulation software used for testing and predicting the behavior of components and systems in various fields. It offers tools for finite element analysis (FEA), computational fluid dynamics (CFD), and other multiphysics simulations, enabling engineers to analyze performance, durability, and fluid dynamics under real-world conditions.",application,"simulation, modeling, engineering, fluid dynamics",Engineering,Mechanical Engineering,61,https://www.ansys.com/,,,,,
62,ant,"aces, expanse, faster","Apache Ant is a Java library and command-line tool whose mission is to drive processes described in build files as targets and extension points dependent upon each other. The main known usage of Ant is the build of Java applications. Ant supplies a number of built-in tasks allowing to compile, assemble, test and run Java applications. Description Source:https://ant.apache.org/",toolkit,,,,62,https://ant.apache.org/,https://ant.apache.org/manual/,"https://www.tutorialspoint.com/ant/ant_quick_guide.htm , https://www.vogella.com/tutorials/ApacheAnt/article.html ",,,
63,antismash,anvil,"Antismash allows the rapid genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters in bacterial and fungal genomes.",application,bioinformatics,Sciences,Biology,63,https://docs.antismash.secondarymetabolites.org/,https://docs.antismash.secondarymetabolites.org/,,,,
64,antlr,"aces, faster","ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or translating structured text or binary files. Description Source:https://www.antlr.org/",toolkit,Compilers,,,64,https://www.antlr.org/,https://www.antlr.org/api/,https://tomassetti.me/antlr-mega-tutorial/,,,
65,anvio,"anvil, bridges-2",Anvio is an analysis and visualization platform for 'omics data.,platform,bioinformatics,Sciences,Biology,65,https://anvio.org/,https://github.com/merenlab/anvio,https://anvio.org/learn/,,,
66,any2fasta,"anvil, faster",Any2fasta can convert various sequence formats to FASTA.,application,bioinformatics,Sciences,Biology,66,https://github.com/tseemann/any2fasta,https://github.com/tseemann/any2fasta,https://github.com/tseemann/any2fasta?tab=readme-ov-file#examples,,,
67,aocc,"aces, anvil, bridges-2, delta, expanse, faster, ookami","AOCC a set of production compilers optimized for software performance when running on AMD host processors using the AMD “Zen” core architecture.The AOCC compiler environment simplifies and accelerates development and tuning for x86 applications built with C, C++, and Fortran languages. Description Source:https://www.amd.com/en/developer/aocc.html ",service,Compilers,,,67,https://www.amd.com/en/developer/aocc.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocc/aocc-4.1-user-guide.pdf,,,,
68,aocc compiler,jetstream,"AOCC a set of production compilers optimized for software performance when running on AMD host processors using the AMD “Zen” core architecture.The AOCC compiler environment simplifies and accelerates development and tuning for x86 applications built with C, C++, and Fortran languages. Description Source:https://www.amd.com/en/developer/aocc.html ",service,Compilers,,,68,https://www.amd.com/en/developer/aocc.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocc/aocc-4.1-user-guide.pdf,,,,
69,aocl,"bridges-2, darwin",AOCL is a set of numerical libraries optimized for AMD processors based on the AMD “Zen” core architecture and generations. The tuned implementations of industry-standard math libraries enable rapid development of scientific and high-performance computing applications. Description Source:https://www.amd.com/en/developer/aocl.html,library,mathematics,Engineering,Mathematics,69,https://www.amd.com/en/developer/aocl.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocl/aocl-4-1-user-guide.pdf,,,,
70,aocl-sparse,expanse,"AOCL-Sparse contains basic linear algebra subroutines for sparse matrices and vectors optimized for AMD processors. In addition, AOCL-Sparse includes iterative sparse solvers for solving linear system of equations. It is designed to be used with C and C++.",library,mathematics,Engineering,Mathematics,70,https://www.amd.com/en/developer/aocl/sparse.html,https://github.com/amd/aocl-sparse,,,,
71,apptainer,jetstream,"Apptainer, formerly known as Singularity, is an open-source container platform designed to create portable and reproducible environments for scientific computing. It allows users to package applications, their dependencies, and data in a single container that can be run consistently across different computing environments. Description Source: https://apptainer.org/",applicaiton,Container management ,,,71,https://apptainer.org/,https://apptainer.org/documentation/,https://apptainer.org/docs/user/main/quick_start.html,,,
72,apr,"aces, faster","APR (Apache Portable Runtime) is a library that provides a set of APIs designed to abstract away the details of the operating system, thereby offering a consistent interface for programming tasks across different platforms. It facilitates the development of portable applications by providing a standardized set of functions for network communication, file system access, and other system utilities, enhancing portability and reducing the complexity of handling OS-specific differences.",library,,,,72,https://apr.apache.org/,https://apr.apache.org/docs/apr/1.7/modules.html,https://people.apache.org/~rooneg/talks/portable-c-with-apr/apr.html,,,
73,apr-util,"aces, faster","APR-util is a companion library to the Apache Portable Runtime (APR) that provides a set of additional utilities and interfaces for tasks such as database connectivity, XML parsing, and data structures management. It extends the core functionality of APR, offering developers a broader set of tools for building highly portable and scalable applications across different platforms.",library,,,,73,https://apr.apache.org/,https://apr.apache.org/docs/apr-util/1.6/modules.html,https://www.linuxfromscratch.org/blfs/view/svn/general/apr-util.html,,,
74,arcade-learning-environment,faster,The Arcade Learning Environment (ALE) is a simple framework that allows researchers and hobbyists to develop AI agents for Atari 2600 games. It is built on top of the Atari 2600 emulator Stella and separates the details of emulation from agent design. This video depicts over 50 games currently supported in the ALE.,framework,developer support,Computer Science,Artificial Intelligence,74,https://github.com/Farama-Foundation/Arcade-Learning-Environment,https://github.com/Farama-Foundation/Arcade-Learning-Environment/blob/master/docs/README.md,,,,
75,archive-zip,faster,Provides an interface to ZIP archive files.,application,,,,75,https://metacpan.org/pod/Archive::Zip,https://metacpan.org/pod/Archive::Zip,,,,
76,archspec,"aces, faster","Archspec aims at providing a standard set of human-understandable labels for various aspects of a system architecture like CPU, network fabrics, etc. and APIs to detect, query and compare them. Description Source:https://github.com/archspec/archspec ",library,,,,76,https://github.com/archspec/archspec,https://archspec.readthedocs.io/en/latest/,https://archspec.readthedocs.io/en/latest/getting_started.html,,,
77,arcs,anvil,ARCS is a tool for scaffolding genome sequence assemblies using linked or long read sequencing data.,application,bioinformatics,Sciences,Biology,77,https://github.com/bcgsc/arcs,https://github.com/bcgsc/arcs,,,,
78,aria2,"expanse, faster","aria2 is a utility for downloading files. The supported protocols are HTTP(S), FTP, SFTP, BitTorrent, and Metalink. aria2 can download a file from multiple sources/protocols and tries to utilize your maximum download bandwidth. Description Source:https://aria2.github.io/manual/en/html/aria2c.html",Utility,Data Transfer Tool,,,78,https://aria2.github.io/,https://aria2.github.io/manual/en/html/aria2c.html,https://aria2.github.io/manual/en/html/aria2c.html#example,,,
79,aria2-1.15.1,faster,,,,,,79,,,,,,
80,ariba,anvil,ARIBA is a tool that identifies antibiotic resistance genes by running local assemblies. It can also be used for MLST calling.,application,bioinformatics,Sciences,Biology,80,https://sanger-pathogens.github.io/ariba/,https://github.com/sanger-pathogens/ariba,https://github.com/sanger-pathogens/pathogen-informatics-training,,,
81,arm,ookami,"The Arm architecture serves as the foundation for processors, known as Processing Elements (PE). It enables interoperability across diverse Arm devices, facilitating software development and execution.",,,,,81,https://developer.arm.com/,https://developer.arm.com/documentation/,https://learn.arm.com/?icid=devhub:developer:all-pages:nav-link,,,
82,arm-forge,expanse,"Arm Forge integrates Arm DDT for parallel debugging, Arm MAP for performance profiling, and Arm Performance Reports for summarizing application performance, supporting various parallel architectures like MPI, CUDA, and OpenMP.",toolkit,,,,82,https://developer.arm.com/,https://developer.arm.com/documentation/101136/22-1-3/Arm-Forge/Introduction-to-Arm-Forge,https://developer.arm.com/documentation/101136/22-1-3/Arm-Forge/Introduction-to-Arm-Forge/Online-resources,,,
