Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,Example Software Use (link),Area-specific Examples,Containerized Version of Software,RP Documentations for Software,Pathing
allpathslg,anvil,application,bioinformatics,Sciences,Biology,Allpathslg is a whole-genome shotgun assembler that can generate high-quality genome assemblies using short reads.,https://software.broadinstitute.org/allpaths-lg/blog/,,,,,,
alphafold,"aces, anvil, darwin, faster",application,"modeling, bioinformatics",Sciences,"Chemistry, Biology","AlphaFold, the state-of-the-art AI system developed by DeepMind, is able to computationally predict protein structures with unprecedented accuracy and speed. Description Source:https://alphafold.ebi.ac.uk/about ",https://alphafold.ebi.ac.uk/,https://github.com/google-deepmind/alphafold,https://github.com/google-deepmind/alphafold?tab=readme-ov-file#installation-and-running-your-first-prediction,,,,
alphapickle,"aces, faster",application,"modeling, bioinformatics",Sciences,"Chemistry, Biology","AlphaPickle is a versatile Python script designed to extract and present output data from DeepMind's ALPHAFOLD protein prediction algorithm, simplifying complex .pkl and .json files into user-friendly formats, alongside generating plots for easier analysis.",,https://github.com/mattarnoldbio/alphapickle,https://github.com/mattarnoldbio/alphapickle,,,,
alsa-lib,faster,library,,,,The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI functionality to the Linux operating system. Description Source:https://www.alsa-project.org/wiki/Main_Page,https://www.alsa-project.org/wiki/Main_Page,https://www.alsa-project.org/wiki/Documentation,,,,,
amask,stampede3,application,,,,"The amask tool exposes the process masks (affinity) of an application will have in a parallel environment, so that users can determine the cores/hardware-threads where each process is allowed to run.",https://tacc.utexas.edu/research/tacc-research/amask/,https://github.com/TACC/amask,https://github.com/TACC/amask/blob/master/README,,,,
amber,"anvil, expanse, faster",module,"simulation, bioinformatics",Sciences,Chemistry,Amber is a suite of biomolecular simulation programs together with Amber tools.,https://ambermd.org/,https://ambermd.org/doc12/Amber23.pdf,https://ambermd.org/tutorials/,,,,
ambertools,"aces, faster",module,"simulation, bioinformatics",Sciences,Chemistry,"Ambertools is a suite can of complete molecular dynamics simulations, with either explicit water or generalized Born solvent models.",https://ambermd.org/AmberTools.php,https://ambermd.org/doc12/Amber23.pdf,https://ambermd.org/tutorials/,,,,
amd-rocm,darwin,toolkit,environment,,,"AMD ROCm is a comprehensive software ecosystem tailored for GPU-accelerated computing tasks, offering robust support for parallel processing and machine learning applications.",https://www.amd.com/en/developer/resources/rocm-hub.html,https://rocm.docs.amd.com/en/latest/index.html,,,,,
amd-uprof,darwin,,profiling tool,,,"AMD uProf (“MICRO-prof”) is a software profiling analysis tool for x86 applications running on Windows, Linux and FreeBSD operating systems and provides event information unique to the AMD “Zen”-based processors and AMD Instinct™ MI Series accelerators. AMD uProf enables the developer to better understand the limiters of application performance and evaluate improvements.",https://www.amd.com/en/developer/uprof.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-2-documents/uprof/uprof-user-guide-v4.2.pdf,,,,,
amdblis,"anvil, expanse",application,,,,AMD Optimized BLIS is a portable software framework for instantiating high-performance BLAS-like dense linear algebra libraries.,https://www.amd.com/es/developer/aocl/blis.html,https://github.com/flame/blis,https://github.com/flame/blis,,,,
amdfftw,"anvil, expanse",library,mathematics,Engineering,Mathematics,"An AMD optimized version of FFTW. FFTW is a C subroutine library for computing the discrete Fourier transform (DFT) in one or more dimensions, of arbitrary input size, and of both real and complex data (as well as of even/odd data, i.e. the discrete cosine/sine transforms or DCT/DST). We believe that FFTW, which is free software, should become the FFT library of choice for most applications. Description Source:https://www.fftw.org/",https://www.fftw.org/,https://github.com/amd/amd-fftw,https://www.fftw.org/fftw3_doc/Tutorial.html,,,,
amdlibflame,"anvil, expanse",library,mathematics,Engineering,Mathematics,"libFLAME AMD Optimized version is a portable library for dense matrix computations, providing much of the functionality present in Linear Algebra Package LAPACK. It includes a compatibility layer, FLAPACK, which includes complete LAPACK implementation.",https://www.amd.com/en/developer/aocl/blis.html#AOCL-libflame,https://github.com/amd/libflame,,,,,
amdlibm,"anvil, expanse",library,mathematics,Engineering,Mathematics,AMD LibM is a software library containing a collection of basic math functions optimized for x86-64 processor-based machines. It provides many routines from the list of standard C99 math functions. Applications can link into AMD LibM library and invoke math functions instead of compilers math functions for better accuracy and performance.,https://www.amd.com/de/developer/aocl/libm.html,https://github.com/amd/aocl-libm-ose,,,,,
amdscalapack,"anvil, expanse",library,mathematics,Engineering,Mathematics,ScaLAPACK is a library of high-performance linear algebra routines for parallel distributed memory machines. It depends on external libraries including BLAS and LAPACK for Linear Algebra computations.,https://www.amd.com/de/developer/aocl/scalapack.html,https://github.com/amd/aocl-scalapack,,,,,
amduprof,"delta, expanse",,profiling tool,,,"AMD uProf (“MICRO-prof”) is a software profiling analysis tool for x86 applications running on Windows, Linux and FreeBSD operating systems and provides event information unique to the AMD “Zen”-based processors and AMD Instinct™ MI Series accelerators. AMD uProf enables the developer to better understand the limiters of application performance and evaluate improvements.",https://www.amd.com/en/developer/uprof.html,https://www.amd.com/content/dam/amd/en/documents/developer/uprof-v4.0-gaGA-user-guide.pdf,https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/debug_perf.html,,,,
amos,faster,application,bioinformatics,Sciences,Biology,The AMOS consortium is committed to the development of open-source whole genome assembly software.,http://amos.sourceforge.net,https://amos.sourceforge.net/wiki/index.php/AMOS#Documentation,https://amos.sourceforge.net/wiki/index.php/Programmer%27s_guide,,,,
amphora2,faster,application,bioinformatics,Sciences,Biology,An Automated Phylogenomic Inference Pipeline for Bacterial and Archaeal Sequences.,https://github.com/wu-lab-uva/AMPHORA2,,,,,,
amptk,anvil,application,bioinformatics,Sciences,Biology,"Amptk is a series of scripts to process NGS amplicon data using USEARCH and VSEARCH, it can also be used to process any NGS amplicon data and includes databases setup for analysis of fungal ITS, fungal LSU, bacterial 16S, and insect COI amplicons.",https://github.com/nextgenusfs/amptk,https://amptk.readthedocs.io/en/latest/,,,,,
anaconda,"anvil, darwin, jetstream, ookami",application,"Python and R repo, AI",,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,,
anaconda2,bridges-2,,,,,"Anaconda is a free and open-source distribution of the Python and R programming languages for scientific computing, that aims to simplify package management and deployment. Package versions are managed by the package management system conda.",,,,,,,
anaconda3,"aces, bridges-2, expanse, faster",application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,,
anaconda3_cpu,delta,application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,,
anaconda3_gpu,delta,application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,,
anaconda3_mi100,delta,application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,,
anaconda3_rcpu,delta,application,Python and R repo,,,"Anaconda3 is a popular open-source distribution of Python and R for scientific computing, data science, and machine learning. It simplifies package management and deployment by bundling numerous libraries and tools, and it includes the conda package manager, which makes installing, running, and updating various packages and their dependencies convenient.",https://www.anaconda.com/,https://docs.anaconda.com/index.html,"https://docs.anaconda.com/free/anaconda/getting-started/ , https://www.youtube.com/watch?v=YJC6ldI3hWk , https://www.datacamp.com/tutorial/installing-anaconda-mac-os-x , https://docs.anaconda.com/ae-notebooks/ ",,,,
anaconda3_x86_64,delta,,,,,,,,,,,,
ananse,anvil,application,bioinformatics,Sciences,Biology,ANANSE is a computational approach to infer enhancer-based gene regulatory networks (GRNs) and to identify key transcription factors between two GRNs.,https://github.com/vanheeringen-lab/ANANSE,https://anansepy.readthedocs.io/en/master/,https://anansepy.readthedocs.io/en/master/examples/,,,,
anchorwave,anvil,application,bioinformatics,Sciences,Biology,"Anchorwave is used for sensitive alignment of genomes with high sequence diversity, extensive structural polymorphism and whole-genome duplication variation.",https://github.com/baoxingsong/AnchorWave,https://github.com/baoxingsong/AnchorWave,https://github.com/baoxingsong/AnchorWave?tab=readme-ov-file#example,,,,
angsd,"anvil, faster",application,bioinformatics,Sciences,Biology,Angsd is a software for analyzing next generation sequencing data.,https://github.com/ANGSD/angsd,https://www.popgen.dk/angsd/index.php/ANGSD,https://www.popgen.dk/angsd/index.php/Quick_Start,,,,
annogesic,anvil,application,bioinformatics,Sciences,Biology,ANNOgesic is the swiss army knife for RNA-Seq based annotation of bacterial/archaeal genomes.,https://github.com/Sung-Huan/ANNOgesic,https://annogesic.readthedocs.io/en/latest/index.html,https://annogesic.readthedocs.io/en/latest/tutorial.html,,,,
annovar,anvil,application,bioinformatics,Sciences,Biology,"ANNOVAR is an efficient software tool to utilize update-to-date information to functionally annotate genetic variants detected from diverse genomes (including human genome hg18, hg19, hg38, as well as mouse, worm, fly, yeast and many others).",https://annovar.openbioinformatics.org/en/latest/,https://annovar.openbioinformatics.org/en/latest/,https://annovar.openbioinformatics.org/en/latest/user-guide/startup/,,,,
ansys,"bridges-2, faster",application,"simulation, modeling, engineering, fluid dynamics",Engineering,Mechanical Engineering,"ANSYS is an engineering simulation software used for testing and predicting the behavior of components and systems in various fields. It offers tools for finite element analysis (FEA), computational fluid dynamics (CFD), and other multiphysics simulations, enabling engineers to analyze performance, durability, and fluid dynamics under real-world conditions.",https://www.ansys.com/,,,,,,
ant,"aces, expanse, faster",toolkit,,,,"Apache Ant is a Java library and command-line tool whose mission is to drive processes described in build files as targets and extension points dependent upon each other. The main known usage of Ant is the build of Java applications. Ant supplies a number of built-in tasks allowing to compile, assemble, test and run Java applications. Description Source:https://ant.apache.org/",https://ant.apache.org/,https://ant.apache.org/manual/,"https://www.tutorialspoint.com/ant/ant_quick_guide.htm , https://www.vogella.com/tutorials/ApacheAnt/article.html ",,,,
antismash,anvil,application,bioinformatics,Sciences,Biology,"Antismash allows the rapid genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters in bacterial and fungal genomes.",https://docs.antismash.secondarymetabolites.org/,https://docs.antismash.secondarymetabolites.org/,,,,,
antlr,"aces, faster",toolkit,Compilers,,,"ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or translating structured text or binary files. Description Source:https://www.antlr.org/",https://www.antlr.org/,https://www.antlr.org/api/,https://tomassetti.me/antlr-mega-tutorial/,,,,
anvio,"anvil, bridges-2",platform,bioinformatics,Sciences,Biology,Anvio is an analysis and visualization platform for 'omics data.,https://anvio.org/,https://github.com/merenlab/anvio,https://anvio.org/learn/,,,,
any2fasta,"anvil, faster",application,bioinformatics,Sciences,Biology,Any2fasta can convert various sequence formats to FASTA.,https://github.com/tseemann/any2fasta,https://github.com/tseemann/any2fasta,https://github.com/tseemann/any2fasta?tab=readme-ov-file#examples,,,,
aocc,"aces, anvil, bridges-2, delta, expanse, faster, ookami",service,Compilers,,,"AOCC a set of production compilers optimized for software performance when running on AMD host processors using the AMD “Zen” core architecture.The AOCC compiler environment simplifies and accelerates development and tuning for x86 applications built with C, C++, and Fortran languages. Description Source:https://www.amd.com/en/developer/aocc.html ",https://www.amd.com/en/developer/aocc.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocc/aocc-4.1-user-guide.pdf,,,,,
aocc compiler,jetstream,service,Compilers,,,"AOCC a set of production compilers optimized for software performance when running on AMD host processors using the AMD “Zen” core architecture.The AOCC compiler environment simplifies and accelerates development and tuning for x86 applications built with C, C++, and Fortran languages. Description Source:https://www.amd.com/en/developer/aocc.html ",https://www.amd.com/en/developer/aocc.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocc/aocc-4.1-user-guide.pdf,,,,,
aocl,"bridges-2, darwin",library,mathematics,Engineering,Mathematics,AOCL is a set of numerical libraries optimized for AMD processors based on the AMD “Zen” core architecture and generations. The tuned implementations of industry-standard math libraries enable rapid development of scientific and high-performance computing applications. Description Source:https://www.amd.com/en/developer/aocl.html,https://www.amd.com/en/developer/aocl.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-1-documents/aocl/aocl-4-1-user-guide.pdf,,,,,
aocl-sparse,expanse,library,mathematics,Engineering,Mathematics,"AOCL-Sparse contains basic linear algebra subroutines for sparse matrices and vectors optimized for AMD processors. In addition, AOCL-Sparse includes iterative sparse solvers for solving linear system of equations. It is designed to be used with C and C++.",https://www.amd.com/en/developer/aocl/sparse.html,https://github.com/amd/aocl-sparse,,,,,
apptainer,jetstream,applicaiton,Container management ,,,"Apptainer, formerly known as Singularity, is an open-source container platform designed to create portable and reproducible environments for scientific computing. It allows users to package applications, their dependencies, and data in a single container that can be run consistently across different computing environments. Description Source: https://apptainer.org/",https://apptainer.org/,https://apptainer.org/documentation/,https://apptainer.org/docs/user/main/quick_start.html,,,,
apr,"aces, faster",library,,,,"APR (Apache Portable Runtime) is a library that provides a set of APIs designed to abstract away the details of the operating system, thereby offering a consistent interface for programming tasks across different platforms. It facilitates the development of portable applications by providing a standardized set of functions for network communication, file system access, and other system utilities, enhancing portability and reducing the complexity of handling OS-specific differences.",https://apr.apache.org/,https://apr.apache.org/docs/apr/1.7/modules.html,https://people.apache.org/~rooneg/talks/portable-c-with-apr/apr.html,,,,
apr-util,"aces, faster",library,,,,"APR-util is a companion library to the Apache Portable Runtime (APR) that provides a set of additional utilities and interfaces for tasks such as database connectivity, XML parsing, and data structures management. It extends the core functionality of APR, offering developers a broader set of tools for building highly portable and scalable applications across different platforms.",https://apr.apache.org/,https://apr.apache.org/docs/apr-util/1.6/modules.html,https://www.linuxfromscratch.org/blfs/view/svn/general/apr-util.html,,,,
arcade-learning-environment,faster,framework,developer support,Computer Science,Artificial Intelligence,The Arcade Learning Environment (ALE) is a simple framework that allows researchers and hobbyists to develop AI agents for Atari 2600 games. It is built on top of the Atari 2600 emulator Stella and separates the details of emulation from agent design. This video depicts over 50 games currently supported in the ALE.,https://github.com/Farama-Foundation/Arcade-Learning-Environment,https://github.com/Farama-Foundation/Arcade-Learning-Environment/blob/master/docs/README.md,,,,,
archive-zip,faster,application,,,,Provides an interface to ZIP archive files.,https://metacpan.org/pod/Archive::Zip,https://metacpan.org/pod/Archive::Zip,,,,,
archspec,"aces, faster",library,,,,"Archspec aims at providing a standard set of human-understandable labels for various aspects of a system architecture like CPU, network fabrics, etc. and APIs to detect, query and compare them. Description Source:https://github.com/archspec/archspec ",https://github.com/archspec/archspec,https://archspec.readthedocs.io/en/latest/,https://archspec.readthedocs.io/en/latest/getting_started.html,,,,
arcs,anvil,application,bioinformatics,Sciences,Biology,ARCS is a tool for scaffolding genome sequence assemblies using linked or long read sequencing data.,https://github.com/bcgsc/arcs,https://github.com/bcgsc/arcs,,,,,
aria2,"expanse, faster",Utility,Data Transfer Tool,,,"aria2 is a utility for downloading files. The supported protocols are HTTP(S), FTP, SFTP, BitTorrent, and Metalink. aria2 can download a file from multiple sources/protocols and tries to utilize your maximum download bandwidth. Description Source:https://aria2.github.io/manual/en/html/aria2c.html",https://aria2.github.io/,https://aria2.github.io/manual/en/html/aria2c.html,https://aria2.github.io/manual/en/html/aria2c.html#example,,,,
aria2-1.15.1,faster,,,,,,,,,,,,
ariba,anvil,application,bioinformatics,Sciences,Biology,ARIBA is a tool that identifies antibiotic resistance genes by running local assemblies. It can also be used for MLST calling.,https://sanger-pathogens.github.io/ariba/,https://github.com/sanger-pathogens/ariba,https://github.com/sanger-pathogens/pathogen-informatics-training,,,,
arm,ookami,,,,,"The Arm architecture serves as the foundation for processors, known as Processing Elements (PE). It enables interoperability across diverse Arm devices, facilitating software development and execution.",https://developer.arm.com/,https://developer.arm.com/documentation/,https://learn.arm.com/?icid=devhub:developer:all-pages:nav-link,,,,
arm-forge,expanse,toolkit,,,,"Arm Forge integrates Arm DDT for parallel debugging, Arm MAP for performance profiling, and Arm Performance Reports for summarizing application performance, supporting various parallel architectures like MPI, CUDA, and OpenMP.",https://developer.arm.com/,https://developer.arm.com/documentation/101136/22-1-3/Arm-Forge/Introduction-to-Arm-Forge,https://developer.arm.com/documentation/101136/22-1-3/Arm-Forge/Introduction-to-Arm-Forge/Online-resources,,,,
