Software,RP Name,Software Type,Software Class,Research Field,Research Area,Research Discipline,Software Description,Core Features,General Tags,Software's Web Page,Software Documentation,Example Software Use,RP Software Documentation,Version Info,AI Description,Example Use
advntr,Anvil,Bioinformatics,Genetic Variant Analysis,Biological Sciences,Genomics,Genetics,adVNTR is a tool for genotyping Variable Number Tandem Repeats (VNTR) from sequence data. It works with both NGS short reads (Illumina HiSeq) and SMRT reads (PacBio) and finds diploid repeating counts for VNTRs and identifies possible mutations in the VNTR sequences.,"Utilizes Deep Learning Methods For Variant Detection, Trained Recurrent Neural Networks For Improved Accuracy, Works With Next-Generation Sequencing (Ngs) Data, Efficient & Fast Variant Detection Process","Ngs, Variant Detection, Deep Learning, DNA Sequencing",https://github.com/mehrdadbakhtiari/adVNTR,https://advntr.readthedocs.io/en/latest/index.html,https://advntr.readthedocs.io/en/latest/tutorial.html,Anvil: https://www.rcac.purdue.edu/software/advntr,"Anvil: 1.4.0, 1.5.0",Advntr (Adaptive Variant Detection in NGS data with trained Recurrent Neural Networks) is a software tool that utilizes deep learning techniques to identify genetic variants in next-generation sequencing (NGS) data. It employs trained recurrent neural networks to accurately and efficiently detect variants in DNA sequences.,
aesara,Faster,Library,Scientific Computing,Computer & Information Sciences,Engineering,Mathematics,"Aesara is a Python library that allows one to define, optimize, and efficiently evaluate mathematical expressions involving multi-dimensional arrays.","Symbolic mathematical operations, automatic differentiation, optimization, deep learning support","Python Library, Symbolic Computation, Deep Learning, Optimization",https://github.com/aesara-devs/aesara,https://aesara.readthedocs.io/en/latest/,https://aesara.readthedocs.io/en/latest/reference/index.html,Faster: https://hprc.tamu.edu/software/faster/,Faster: 2.8.9,"Aesara is a Python library for symbolic mathematical operations, particularly focusing on deep learning and optimization. It allows for the creation of complex mathematical expressions and their manipulation symbolically, enabling automatic differentiation and optimization of functions.",
aflow,Faster,Materials Modeling & Simulation,Scientific Software,Physical Sciences,Condensed Matter Physics,Physics & Physical Sciences,"AFLOW is a comprehensive software framework for autonomous density functional theory calculations and materials properties analysis. It offers diverse tools and modules for structure analysis, property prediction, and error correction, including thermodynamic stability analysis and modeling of chemically disordered materials, with public access through the AFLOW website and search API.","Some core features of aflow include: 1. High-throughput screening of materials properties, 2. Prediction of phase stability and electronic structure, 3. Automated workflows for DFT calculations, 4. Database integration for materials discovery and design.","Computational Software, Materials Science, Density Functional Theory",https://aflowlib.org/,https://aflow.org/aflow-school/,https://aflow.org/aflow-school/,Faster: https://hprc.tamu.edu/software/faster/,Faster: 3.2.11,"aflow is a computational software package for first-principles calculations and high-throughput materials science. It enables researchers to study materials properties, electronic structure, and phase stability using density functional theory (DFT) calculations.",
afplot,Anvil,Tool,Data Visualization,Biological Sciences,Genetics,Biological Sciences,Afplot is a tool to plot allele frequencies in VCF files.,"1. Plotting allele frequency distributions
2. Customizable visualization options
3. Supports data from population genetic studies
4. Easy-to-use interface for generating plots
5. Helpful for analyzing genetic diversity and population structure","Allele Frequency, Population Genetics, Genetic Diversity, Data Visualization, Population Structure",https://github.com/sndrtj/afplot,,https://github.com/sndrtj/afplot#Examples,Anvil: https://www.rcac.purdue.edu/software/afplot,Anvil: 0.2.1,"The afplot software is a tool designed for plotting allele frequency distributions, which are commonly used in population genetic analyses and genetic diversity studies. It allows users to visualize the distribution of allele frequencies across a population or a set of individuals.",
afterqc,Anvil,Application,Bioinformatics,Biological Sciences,Sciences,Biology,"Automatic Filtering, Trimming, Error Removing and Quality Control for fastq data. AfterQC can simply go through all fastq files in a folder and then output three folders: good, bad and QC folders, which contains good reads, bad reads and the QC results of each fastq file/pair.","Some core features of afterQC include adapter trimming, read filtering, read trimming, quality control metrics generation, and visualization of QC reports.","Quality Control, High-Throughput Sequencing Data, Next-Generation Sequencing",https://github.com/OpenGene/AfterQC,https://github.com/OpenGene/AfterQC,https://github.com/OpenGene/AfterQC#Simple-usage,Anvil: https://www.rcac.purdue.edu/software/afterqc,Anvil: 0.9.7,afterQC is a quality control tool for high-throughput sequencing data. It performs post-alignment quality control on next-generation sequencing data to provide comprehensive QC metrics and visualizations.,
agat,Anvil,Pipeline,Bioinformatics,Biological Sciences,Genome Annotation,Genomics,Agat is a suite of tools to handle gene annotations in any GTF/GFF format,"Genome Assembly Annotation, Evaluation Of Genome Assemblies, Identification Of Genes & Regulatory Elements, Functional Annotation Of Genomic Features","Genome Assembly, Annotation, Evaluation, Genomic Analysis",https://github.com/NBISweden/AGAT?tab=readme-ov-file,https://agat.readthedocs.io/en/latest/index.html,https://agat.readthedocs.io/en/latest/agat_how_does_it_work.html,Anvil: https://www.rcac.purdue.edu/software/agat,Anvil: 0.8.1,AGAT (Annotation-based Genome Assembly Toolkit) is a pipeline designed for comprehensive annotation and evaluation of genome assemblies.,
agfusion,Anvil,Computational,Research Tool,Biological Sciences,Cancer Genomics,Bioinformatics,AGFusion (pronounced 'A G Fusion') is a python package for annotating gene fusions from the human or mouse genomes.,"1. Detection of gene fusions in cancer genomes
2. Annotation and classification of gene fusions
3. Prediction of functional consequences of gene fusions
4. Integration of multiple algorithms for accurate fusion detection
5. Analysis of fusion breakpoints and potential fusion partners","Computational Tool, Gene Fusions, Cancer",https://github.com/murphycj/AGFusion,https://github.com/murphycj/AGFusion,"https://github.com/murphycj/AGFusion?tab=readme-ov-file#examples 
https://www.agfusion.app/",Anvil: https://www.rcac.purdue.edu/software/agfusion,Anvil: 1.3.11,agfusion is a computational tool for annotating and predicting the effects of gene fusions in cancer. It integrates multiple algorithms to identify and characterize gene fusions using RNA sequencing data.,
ai,Bridges-2,Software,Artificial Intelligence & Intelligent Systems,Computer & Information Sciences,,,PyTorch AI development environment,"Core features of AI include machine learning, neural networks, natural language processing, computer vision, and robotics. AI systems can be designed to perform tasks such as speech recognition, decision-making, visual perception, and language translation.","Artificial Intelligence, Machine Learning, Neural Networks, Natural Language Processing, Computer Vision, Robotics",,https://www.psc.edu/resources/software/ai/,,Bridges-2: https://www.psc.edu/resources/software/ai,"Bridges-2: Pytorch_23.02-1.13.1-Py3, Tensorflow_23.02-2.10.0-Py3","AI, or artificial intelligence, refers to the simulation of human intelligence processes by machines, particularly computer systems. These processes include learning, reasoning, problem-solving, perception, and language understanding.",
aiohttp,"Aces, Faster",Http Client/Server Framework,Web Framework,Computer & Information Sciences,,,"aiohttp is an asynchronous HTTP Client/Server for asyncio and Python. 
Description Source: https://docs.aiohttp.org/en/stable/","Asynchronous Client & Server Components For Http, Websockets Support, Middleware Support For Extending Functionality, Ssl/Tls Support For Secure Communication","Python Library, Web Development, Asynchronous Programming",https://github.com/aio-libs/aiohttp,https://docs.aiohttp.org/en/stable/,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 3.8.3, 3.8.5
Faster: 3.8.1","aiohttp is an asynchronous HTTP client/server framework for Python. It allows for handling HTTP requests and responses in an asynchronous manner, making it ideal for building high-performance web applications.",
alfred,Anvil,Application,Productivity Tool,Other Computer & Information Sciences,Sciences,Biology,Alfred is an efficient and versatile command-line application that computes multi-sample quality control metrics in a read-group aware manner.,"Customizable Hotkeys For Various Actions, Keyword-Based Search For Files, Contacts, & Web Searches, Text Expansion For Frequently Used Phrases, Clipboard History & Management, Integration With Various Apps & Workflows","Productivity, Macos, Keyboard Shortcuts, Automation",https://github.com/tobiasrausch/alfred,https://www.gear-genomics.com/docs/alfred/,https://www.gear-genomics.com/docs/alfred/cli/,Anvil: https://www.rcac.purdue.edu/software/alfred,"Anvil: 0.2.5, 0.2.6","Alfred is a productivity application for macOS that boosts your efficiency with hotkeys, keywords, text expansion, and more. It allows users to perform various tasks quickly using customizable keyboard shortcuts.",
alien-hunter,Anvil,Application,Bioinformatics,,Sciences,Biology,Alien-hunter is an application for the prediction of putative Horizontal Gene Transfer (HGT) events with the implementation of Interpolated Variable Order Motifs (IVOMs).,,,https://www.sanger.ac.uk/tool/alien_hunter/,,,Anvil: https://www.rcac.purdue.edu/software/alien-hunter,Anvil: 1.7.7,,
alignstats,Anvil,Statistical Analysis Tool,Bioinformatics Tool,Biological Sciences,Genetics,Biological Sciences,"AlignStats produces various alignment, whole genome coverage, and capture coverage metrics for sequence alignment files in SAM, BAM, and CRAM format.","Statistical Analysis Of Biological Sequence Alignments, Calculation Of Sequence Conservation Scores, Identification Of Conserved Regions, Generation Of Graphical Visualizations Of Alignment Statistics","Bioinformatics, Sequence Analysis, Alignment, Statistics",https://github.com/jfarek/alignstats,https://github.com/jfarek/alignstats,https://github.com/jfarek/alignstats?tab=readme-ov-file#usage-examples,Anvil: https://www.rcac.purdue.edu/software/alignstats,Anvil: 0.9.1,AlignStats is a software tool for the statistical analysis of biological sequence alignments. It provides various statistical metrics and analyses to investigate the patterns and properties of sequence alignments.,
all-architectures,Ookami,,,,,,,,,,,,Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami,,,
allocations,Bridges-2,,,,,,PSC Allocations usage utilities,,,,,,Bridges-2: https://www.psc.edu/resources/software/allocations,Bridges-2: 1.0,,
allpathslg,Anvil,Application,Bioinformatics,,Sciences,Biology,Allpathslg is a whole-genome shotgun assembler that can generate high-quality genome assemblies using short reads.,,,https://software.broadinstitute.org/allpaths-lg/blog/,,,Anvil: https://www.rcac.purdue.edu/software/allpathslg,Anvil: 52488,,
alphafold,"Aces, Anvil, Darwin, Faster",Web Application,Prediction Tool,Biological Sciences,Structural Biology,Bioinformatics,"AlphaFold, the state-of-the-art AI system developed by DeepMind, is able to computationally predict protein structures with unprecedented accuracy and speed. 
Description Source: https://alphafold.ebi.ac.uk/about ",AlphaFold uses a novel attention-based neural network architecture that interprets the amino acid sequence of a protein and predicts its 3D structure. It leverages evolutionary information from multiple sequence alignments to improve prediction accuracy. The system also provides confidence scores for its predictions.,"Protein Folding, Structure Prediction, Deep Learning, Neural Networks",https://alphafold.ebi.ac.uk/,https://github.com/google-deepmind/alphafold,https://github.com/google-deepmind/alphafold?tab=readme-ov-file#installation-and-running-your-first-prediction,"Aces: https://hprc.tamu.edu/software/aces/ 
Anvil: https://www.rcac.purdue.edu/software/alphafold 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2.3.2-Cuda-11.8.0
Anvil: 2.1.1, 2.2.0, 2.2.3, 2.3.0, 2.3.1
Faster: 2.1.1, 2.2.2-Cuda-11.3.1",AlphaFold is a deep learning-based system developed by DeepMind to predict protein folding and 3D structure with high accuracy.,
alphapickle,"Aces, Faster",Data Analysis,Library,Other Mathematics,Quantitative Finance,Financial Engineering,"AlphaPickle is a versatile Python script designed to extract and present output data from DeepMind's ALPHAFOLD protein prediction algorithm, simplifying complex .pkl and .json files into user-friendly formats, alongside generating plots for easier analysis.","Automated alpha factor research, portfolio optimization, backtesting, risk management tools, performance analysis, support for common financial data formats.","Python Library, Quantitative Finance, Alpha Factors, Portfolio Optimization",,https://github.com/mattarnoldbio/alphapickle,https://github.com/mattarnoldbio/alphapickle,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 1.4.1
Faster: 1.4.1",Alphapickle is a Python library that provides tools and utilities for working with alpha factors and optimizing portfolio construction in quantitative finance.,
alsa-lib,Faster,Audio Library,Library,Computer & Information Sciences,,,"The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI functionality to the Linux operating system. 
Description Source: https://www.alsa-project.org/wiki/Main_Page","1. Allows access to sound card capabilities in Linux
2. Provides audio and MIDI functionality
3. Supports various audio formats
4. Offers low latency audio processing
5. Enables hardware-level audio control","Linux, Audio, Library",https://www.alsa-project.org/wiki/Main_Page,https://www.alsa-project.org/wiki/Documentation,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 1.2.8,Advanced Linux Sound Architecture (ALSA) provides audio and MIDI functionality to the Linux operating system. alsa-lib is a library that provides an interface for programmers to access sound card capabilities.,
amask,Stampede3,Molecular Visualization Software,Visualization,Biological Sciences,,,"The amask tool exposes the process masks (affinity) of an application will have in a parallel environment, so that users can determine the cores/hardware-threads where each process is allowed to run.","1. Interactive manipulation of molecular structures
2. Visualization of atomic interactions and bonds
3. Rendering quality images and animations of molecular simulations
4. Support for various file formats commonly used in molecular modeling
5. User-friendly interface for easy navigation and editing","Molecular Visualization, Atomic Structures, Molecular Modeling, Research Tool",https://tacc.utexas.edu/research/tacc-research/amask/,https://github.com/TACC/amask,https://github.com/TACC/amask/blob/master/README,Stampede3: https://tacc.utexas.edu/use-tacc/software-list/,,Amask is a high-level molecular visualization program that is designed to create and manipulate atomic structures for research and educational purposes. It provides a user-friendly interface for visualizing complex molecular structures and interactions.,
amber,"Anvil, Expanse, Faster",Molecular Dynamics,Simulation,Biological Sciences,"Biophysics, Structural Biology",Biochemistry & Molecular Biology,Amber is a suite of biomolecular simulation programs together with Amber tools.,"1. Molecular dynamics simulations
2. Free energy calculations
3. Quantum chemistry
4. Structural analysis
5. Visualization tools","Molecular Dynamics, Biomolecular Simulations, Quantum Chemistry",https://ambermd.org/,https://ambermd.org/doc12/Amber23.pdf,https://ambermd.org/tutorials/,"Anvil: https://www.rcac.purdue.edu/software/amber 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/","Anvil: 20
Expanse: C6Gwmih-Omp, Ulauqq7-Omp
Faster: 20-Cuda-11.4.1-Nccl-2.11.4-Python-3.9.5, 20-Cuda-11.4.1-Python-3.9.5","Amber is a suite of highly extensible molecular simulation programs. It is designed for simulations of biomolecules such as proteins, nucleic acids, and carbohydrates, and can also be used for small molecules.",
ambertools,"Aces, Faster",Simulation Software,Software Tools,Biological Sciences,Structural Biology,Biophysics,"Ambertools is a suite can of complete molecular dynamics simulations, with either explicit water or generalized Born solvent models.","AmberTools offers a wide range of functionality for molecular dynamics simulations, including energy minimization, molecular dynamics simulation, structure analysis, and visualization. It supports various force fields and parameters for simulating biomolecules.","Molecular Dynamics, Computational Chemistry, Biomolecular Structure, Energy Minimization",https://ambermd.org/AmberTools.php,https://ambermd.org/doc12/Amber23.pdf,https://ambermd.org/tutorials/,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 22.3
Faster: 21.12","AmberTools is a suite of software for molecular dynamics simulations, energy minimization, and trajectory analysis in the field of computational chemistry. It provides tools for the refinement and analysis of biomolecular structures.",
